"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"CURLEW LAKE STATE PARK","","","","779","Ground water","561 Bear Creek Rd
Winthrop, WA 98862","","","Ferry"
"CURLEW WATER & SEWER DISTRICT","","","","316","Ground water","PO Box 201
Curlew, WA 99118","","","Ferry"
"CURRIE JD YOUTH CAMP","","","","202","Ground water","1620 SE 8th Ave
Camas, WA 98607","","","Clark"
"CURRIES LANDING","","","","61","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Mason"
"CUSHMAN INC","","","","129","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"CUSHMAN PLANT 2","","","","28","Ground water","N 21451 Hwy 101
Shelton, WA 98584","","","Mason"
"CUSICK TOWN OF","","","","672","Surface water","PO Box 263
Cusick, WA 99119","","","Pend Oreille"
"CUSTOM ORCHARD 1","","","","42","Ground water","PO Box 259
Wenatchee, WA 98807","","","Okanogan"
"CUYAMACA VILLAGE","","","","103","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Thurston"
"CYO - CAMP HAMILTON","","","","69","Ground water","710 9th Ave
Seattle, WA 98104-2017","","","Snohomish"
"CYO CAMP GALLAGHER WS","","","","72","Ground water","710 Ninth Ave
Seattle, WA 98104","","","Pierce"
"Cabin Creek","","","","9","Ground water","PO Box 497
Easton, WA 98925","","","Kittitas"
"Camp Beausite NW","","","","68","Ground water","310 Four Corners Rd
Port Townsend, WA 98368","","","Jefferson"
"Camp Cowles-Sunrise","","","","1","Ground water","4161 NORTHSHORE DIAMOND LAKE RD
NEWPORT, WA 99156","","","Pend Oreille"
"Camp Edward","","","","106","Ground water","25600 A Monroe Log Camp Rd
Snohomish, WA 98290","","","Snohomish"
"Camp Korey","","","","30","Ground water","14263 Calhoun Rd
Mount Vernon, WA 98273","","","Skagit"
"Campbell Farm Potable Well","","","","48","Ground water","2527 Campbell Road
Wapato, WA 98954","","","Yakima"
"Campbell Orchards","","","","40","Ground water","PO Box 681
Yakima, WA 98907","","","Yakima"
"Canyon Farm Camp","","","","96","Ground water","110 Taylor Flats Rd
Pasco, WA 99301","","","Franklin"
"Canyon River Ranch","","","","55","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Kittitas"
"Capstone Farmworker Housing","","","","96","Ground water","PO Box 394
Cle Elum, WA 98922","","","Grant"
"Carnation Farms","","","","171","Ground water","28901 NE Carnation Farm Rd
Carnation, WA 98014-8800","","","King"
"Cascades Camp & Conference Center","","","","131","Ground water","22825 Peissner Rd SE
Yelm, WA 98597","","","Thurston"
"Cave B Winery","","","","64","Ground water","12343 Road W NW
Quincy, WA 98848","","","Grant"
"Cayuse CG/Cle Elum RD","","","","25","Ground water","CLE ELUM RANGER DISTRICT
803 SECOND ST
CLE ELUM, WA 98922","","","Kittitas"
"Cedarhearth Water ","","","","37","Ground water","14263 Calhoun Rd
Mount Vernon, WA 98273","","","Island"
"Cedars Recreational Vehicle Park","","","","54","Ground water","115 Beauvais Rd
Kelso, WA 98626","","","Cowlitz"
"Chapman Creek Housing","","","","205","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Klickitat"
"Chehalis Livestock Auction & Cafe","","","","457","Ground water","1162 NW State Ave
Chehalis, WA 98532","","","Lewis"
"Cheney Public Schools","","","","36","Ground water","4824 N Isenhart Rd
Spokane, WA 99216","","","Spokane"
"Chewelah Peak Community Water Co.","","","","56","Ground water","41920 Egypt Loop N
Davenport, WA 99122","","","Stevens"
"Chiawana - Beverly Burke Ranch","","","","25","Ground water","PO Box 394
Cle Elum, WA 98922","","","Grant"
"Chiawana - Klingeman Ranch","","","","95","Ground water","3107 River Road
Yakima, WA 98902","","","Franklin"
"Chinook Wines","","","","54","Ground water","Chinook Wines
PO Box 387
Prosser, WA 99350","","","Benton"
"Chukar Farmworker Housing","","","","25","Ground water","PO Box 1588
Yakima, WA 98907","","","Grant"
"Cimmaron Farmworker Housing","","","","46","Ground water","PO Box 259
Wenatchee, WA 98807","","","Grant"
"Clark Addition Water System","","","","189","Ground water","3912 Ivy Road
Pasco, WA 99301","","","Franklin"
"Classic Hi-Crop","","","","104","Ground water","PO BOX 799
WESTPORT, WA 98595-0799","","","Grays Harbor"
"Clayton Orchards Housing","","","","25","Ground water","PO BOX 274
MOSES LAKE, WA 98837","","","Douglas"
"Col Solare Winery","","","","53","Ground water","PO Box 231
Paterson, WA 99345","","","Benton"
"Coldwater Science & Learning Center","","","","25","Ground water","42218 NE Yale Bridge Rd.
Amboy, WA 98601","","","Cowlitz"
"Cole","","","","254","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Pierce"
"Cole Point Association","","","","36","Ground water","PO Box 123
Port Orchard, WA 98366","","","Pierce"
"Colockum Ridge Golf Course","","","","37","Ground water","101 F St SW
Quincy, WA 98848","","","Grant"
"Colony Mountain","","","","199","Ground water","6912 Hannegan Rd, Suite 105
Lynden, WA 98264","","","Skagit"
"Columbia Bean","","","","25","Ground water","PO Box 394
Cle Elum, WA 98922","","","Grant"
"Columbia Generating Station","","","","1,317","Surface water","PO Box 968
Richland, WA 99352","","","Benton"
"Columbia Place LLC","","","","125","Ground water","218406 E 397 #33
Kennewick, WA 99337","","","Benton"
"Columbia Valley Water District","","","","2,260","Ground water","6224 Bellwood Dr
Maple Falls, WA 98266","","","Whatcom"
"Columbia12 Touchet Chevron","","","","104","Ground water","16284 West Hwy 12
Touchet, WA 99360","","","Walla Walla"
"Colville SDA Church","","","","79","Ground water","139 E Cedar Loop
Colville, WA 99114","","","Stevens"
"Common Field Water System","","","","36","Ground water","PO Box 683
Lopez Island, WA 98261-0683","","","San Juan"
"Community Sewer and Water District","","","","1,200","Ground water","8411 Wembley Dr
Pasco, WA 99301","","","Benton"
"ConAgra Foods Lamb Weston Inc-Farm","","","","107","Ground water","PO Box 1900
Pasco, WA 99302","","","Benton"
"Coombs Ranch","","","","25","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Yakima"
"Copalis RV Park","","","","19","Ground water","112 Dogwood  Dr
Chehalis, WA 98532","","","Grays Harbor"
"Coppermill","","","","30","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"Cottage Farms","","","","30","Ground water","PO Box 394
Cle Elum, WA 98922","","","Kittitas"
"Cougar / Squak Corridor","","","","4","Ground water","KING COUNTY PARKS DIVISION
3005 NE 4th
Renton, WA 98056-4122","","","King"
"Cougar Campers","","","","44","Ground water","PO Box 394
Cle Elum, WA 98922","","","Grant"
"Coulee Flats Dairy","","","","83","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Franklin"
"Country Cabins & Mobile Park","","","","29","Ground water","1888 E Best Ave
Couer d'Alene, ID 83814","","","Chelan"
"Country Christian Center","","","","25","Ground water","3581 Dogwood Rd
Pasco, WA 99301","","","Franklin"
"Country Church of the Open Bible","","","","96","Ground water","40015 N Collins
Elk, WA 99009","","","Spokane"
"Country Cousins","","","","66","Ground water","2073 W James Road
Othello, WA 99344","","","Adams"
"Country Lane Community Water","","","","53","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"Country N Lace","","","","25","Ground water","PO Box 780
Napavine, WA 98565","","","Lewis"
"Country River Farm","","","","152","Ground water","53 State Route 153
Pateros, WA 98846","","","Okanogan"
"Countryside 7 Day Adventist Elmntry","","","","165","Ground water","13710 W Lincoln Rd
SPOKANE, WA 99224","","","Spokane"
"Cowiche Creek Brewing","","","","28","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Yakima"
"Cowlitz County Shooting Range","","","","25","Ground water","1087 Lewis River Rd PMB131
Woodland, WA 98674","","","Cowlitz"
"Cowlitz Family Health Center","","","","68","Ground water","PO Box 890
Kelso, WA 98626","","","Cowlitz"
"Cowlitz Indian Tribal Housing","","","","50","Ground water","107 Spencer Rd
Toledo, WA 98591","","","Lewis"
"Cox Brays Landing Water System","","","","51","Ground water","1 Fifth St, Suite 250
Wenatchee, WA 98801","","","Douglas"
"Coyle","","","","164","Ground water","310 Four Corners Rd.
Port Townsend, WA 98368","","","Jefferson"
"Craven Farm Water System","","","","639","Ground water","PO Box 1561
Snohomish, WA 98290","","","Snohomish"
"Creekside Apartments","","","","100","Ground water","28641 SE 225th St
Maple Valley, WA 98038-6920","","","Pierce"
"Crescent Bay Resort","","","","44","Ground water","12343 Road W NW
Quincy, WA 98848","","","Grant"
"Crossroads Community Church","","","","25","Ground water","PO Box 2909
Yelm, WA 98597","","","Thurston"
"Custer Water Association","","","","365","Ground water","PO Box 575
Custer, WA 98240","","","Whatcom"
"Cypress Country Estates","","","","253","Ground water","1057 S Hi Lo Dr
Othello, WA 99344-9715","","","Franklin"
"DABOB COVE COMMUNITY","","","","30","Ground water","592 Rhododendron Dr
Quilcene, WA 98376","","","Jefferson"
"DALKENA COMMUNITY CHURCH","","","","75","Ground water","PO Box 732
Newport, WA 99156","","","Pend Oreille"
"DALLES CAMPGROUND","","","","25","Ground water","675 Gilman St
Palo Alto, CA 94301","","","Pierce"
"DALLESPORT DOMESTIC WATER SHARERS","","","","32","Ground water","PO Box 131
Dallesport, WA 98617","","","Klickitat"
"DALLESPORT INDUSTRIAL PARK","","","","495","Ground water","1313 S Columbus Ave
Goldendale, WA 98620","","","Klickitat"
"DALLESPORT MOBILE HOME PARK","","","","101","Ground water","PO Box 400
Dallesport, WA 98617","","","Klickitat"
"DALLESPORT WATER DISTRICT","","","","598","Ground water","PO Box 131
Dallesport, WA 98617","","","Klickitat"
"DAMMAN SCHOOL","","","","45","Ground water","2681 Umptanum Rd
Ellensburg, WA 98926-8745","","","Kittitas"
"DAN ELES MOBILE HOME COURT","","","","20","Ground water","2322 Tacoma Rd E #5
Puyallup, WA 98371-5094","","","Pierce"
"DANA PASSAGE","","","","190","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"DANNER CORP","","","","50","Ground water","307 ORAVETZ PL SE
AUBURN, WA 98092","","","King"
"DAROGA STATE PARK NORTH","","","","849","Ground water","333 OLDS STATION RD
WENATCHEE, WA 98801","","","Douglas"
"DARRINGTON KINGDOM HALL","","","","30","Ground water","18522 Newport Dr
Arlington, WA 98223","","","Snohomish"
"DARRINGTON WATER ASSOCIATION","","","","42","Ground water","29920 Star Rt Hwy 530 NE
Darrington, WA 98241","","","Snohomish"
"DASHMESH PETROLEUM","","","","232","Ground water","PO Box 780
Napavine, WA 98565","","","Lewis"
"DAVENPORT WATER DIVISION","","","","1,720","Ground water","PO Box 26
Davenport, WA 99122","","","Lincoln"
"DAVIS HEAD HOA","","","","13","Ground water","421 Lopez Hill Rd
Lopez Island, WA 98261","","","San Juan"
"DAVIS INDUSTRIES INC-903","","","","200","Ground water","PO Box 909
Clinton, WA 98236","","","Island"
"DAVIS LANDING WATER SYSTEM","","","","74","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"DAVIS TERRACE WATER ASSN","","","","222","Surface water purchased","1087 Lewis River Rd PMB131
Woodland, WA 98674","","","Cowlitz"
"DAWN LEE COURTS","","","","100","Ground water","PO Box 704
Cashmere, WA 98815","","","Chelan"
"DAWNBREAKER WATER ASSOCIATION","","","","168","Ground water","PO Box 123
Port Orchard, WA 98366","","","King"
"DAY CREEK CHAPEL","","","","55","Ground water","31438  SOUTH SKAGIT HWY
SEDRO WOOLEY, WA 98284","","","Skagit"
"DAYBREAK PARK","","","","102","Ground water","PO Box 5000
Vancouver, WA 98666-5000","","","Clark"
"DAYTON AIRPORT BUSINESS PARK","","","","25","Ground water","PO Box 123
Port Orchard, WA 98366","","","Mason"
"DAYTON TRAILS","","","","145","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"DAYTON WATER DEPARTMENT","","","","3,276","Ground water","111 S FIRST ST
DAYTON, WA 99328","","","Columbia"
"DE CHENNE WATER SYSTEM","","","","38","Ground water","461 S Nevada Ave
East Wenatchee, WA 98802","","","Chelan"
"DECATUR HEAD BEACH ASSOCIATION","","","","25","Ground water","17 Decatur Island
Anacortes, WA 98221-9401","","","San Juan"
"DECATUR NORTHWEST","","","","32","Ground water","Sylvan Cove  Decatur Island
Anacortes, WA 98221","","","San Juan"
"DECATUR SHORES COMMUNITY ASSOC","","","","140","Ground water","421 Lopez Hill Rd
Lopez Island, WA 98261","","","San Juan"
"DECEPTION PARK VIEW","","","","180","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"DECEPTION PASS MARINA INC","","","","46","Ground water","70 NE Midway Blvd
Oak Harbor, WA 98277","","","Island"
"DECEPTION PASS SP - CORNET BAY","","","","199","Ground water","41020 SR 20
Oak Harbor, WA 98277-7947","","","Island"
"DECEPTION PASS SP - ROSARIO BEACH","","","","999","Ground water","41020 SR 20
Oak Harbor, WA 98277-7947","","","Skagit"
"DECHAUX MUTUAL WATER","","","","53","Ground water","PO Box 123
Port Orchard, WA 98366","","","Pierce"
"DEEP CREEK RANCHETTES","","","","141","Ground water","PO Box 123
Port Orchard, WA 98366","","","Spokane"
"DEEP LAKE RESORT","","","","8","Ground water","12405 Tilley Rd. S.
Olympia, WA 98512","","","Thurston"
"DEEP LAKE STATE PARK","","","","323","Ground water","34875 Park Lake Rd NE
Coulee City, WA 99115","","","Grant"
"DEER CREEK GROCERY","","","","111","Ground water","5881 E SR 3
Shelton, WA 98584","","","Mason"
"DEER CREEK WATER ASSOC.","","","","1,130","Ground water","PO Box 30230
Bellingham, WA 98228","","","Whatcom"
"DEER HARBOR INN","","","","64","Ground water","PO Box 142
Deer Harbor, WA 98243","","","San Juan"
"DEER LAGOON GRANGE","","","","50","Ground water","3013 Langstaff Lane
Langley, WA 98260","","","Island"
"DEER LAKE ESTATES","","","","55","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"DEER LAKE HAVEN INC","","","","90","Ground water","PO Box 1202
Freeland, WA 98249","","","Island"
"DEER MEADOWS WATER COMPANY INC","","","","193","Ground water","42180 Osprey Lane N
Davenport, WA 99122","","","Lincoln"
"DEER PARK CITY OF","","","","4,510","Ground water","PO Box F
Deer Park, WA 99006","","","Spokane"
"DEERFIELD PARK 2-682","","","","140","Ground water","1230 Ruddell Rd SE
Lacey, WA 98503","","","Thurston"
"DEERFIELD PARK-681","","","","97","Ground water","1230 Ruddell Rd SE
Lacey, WA 98503","","","Thurston"
"DEKKER WATER SYSTEM","","","","25","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Yakima"
"DEL BAY","","","","50","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"DEL MAR COMMUNITY SERVICE","","","","654","Surface water purchased","1004 COMMERCIAL AVE #1111
Anacortes, WA 98221","","","Skagit"
"DELANO BAY CHRISTIAN CAMP","","","","103","Ground water","810 Stamford Rd SW
Lakebay, WA 98349","","","Pierce"
"DELPHI","","","","381","Ground water","6340 NEYLON DR SW
Olympia, WA 98512","","","Thurston"
"DELPHI DAUBEL","","","","29","Ground water","Southwest Region
6800 Meridian Rd SE
Olympia, WA 98513-6302","","","Thurston"
"DELPHI MOBILE HOME PARK","","","","85","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"DELTA GROCERY WATER SYSTEM","","","","102","Ground water","1306 Birch Bay Lynden Rd
Lynden, WA 98264","","","Whatcom"
"DELTA LONG LK ACRE TRACTS","","","","53","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Kitsap"
"DELTA WATER ASSOCIATION","","","","450","Ground water","338 Ten Mile Rd
Lynden, WA 98264","","","Whatcom"
"DEMING LOG SHOW & RV","","","","407","Ground water","PO BOX 837
DEMING, WA 98244","","","Whatcom"
"DEMING WATER ASSOC.","","","","501","Ground water","PO Box 355
Deming, WA 98244","","","Whatcom"
"DENNY CREEK CAMPGROUND","","","","155","Ground water","675 Gilman St
Palo Alto, CA 94301","","","King"
"DERBY DOWNS","","","","30","Ground water","PO Box 123
Port Orchard, WA 98366","","","Kitsap"
"DERBYSHIRE SCENIC ACRES","","","","156","Ground water","PO Box 123
Port Orchard, WA 98366","","","King"
"DESCHUTES VILLAGE - 683","","","","140","Ground water","1230 Ruddell Rd SE
Lacey, WA 98503","","","Thurston"
"DESERT AIRE OWNER ASSN","","","","2,583","Ground water","504 Clubhouse Wy
Desert Aire, WA 99349","","","Grant"
"DESERT CANYON DOMESTIC WATER SYSTEM","","","","299","Ground water","PO Box 398
Orondo, WA 98843","","","Douglas"
"DESERT HOUSE CAFE & GROCERY","","","","35","Ground water","State Hwy 221 - Box #9
Paterson, WA 99345","","","Benton"
"DESERT VILLA","","","","100","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Grant"
"DETROIT WATER SERVICE ASSN","","","","57","Ground water","PO Box 123
Port Orchard, WA 98366","","","Mason"
"DEVRIES ROAD COMMUNITY ASSN","","","","76","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"DEXTER BY THE SEA","","","","96","Ground water","1411 Fowler Rd
Raymond, WA 98577","","","Pacific"
"DEYTONA","","","","50","Ground water","200 Home Lane
Port Angeles, WA 98362","","","Clallam"
"DIABLO WTR SYS-SEATTLE CITY LIGHT","","","","53","Ground water","PO Box 34023
Seattle, WA 98124-4023","","","Whatcom"
"DIAMOND LAKE WATER & SEWER DISTRICT","","","","1,299","Ground water","172 S Shore Diamond Lake Rd
Newport, WA 99156","","","Pend Oreille"
"DIAMOND POINT","","","","763","Ground water","PO BOX 1085
POULSBO, WA 98370-0057","","","Clallam"
"DIAMOND POINT WATER SYSTEM","","","","100","Ground water","PO Box 394
Cle Elum, WA 98922","","","Grant"
"DIAMOND SPRINGS WATER ASSOCIATION","","","","138","Ground water","PO Box 123
Port Orchard, WA 98366","","","King"
"DINELT WATER SYSTEM","","","","136","Ground water","PO Box 44168
Tacoma, WA 98448","","","Pierce"
"DISCOVERY BAY LEASEHOLDERS","","","","123","Ground water","PO BOX 92
SEQUIM, WA 98382","","","Jefferson"
"DISCOVERY BAY VILLAGE","","","","167","Ground water","PO Box 1921
Sequim, WA 98382","","","Jefferson"
"DISMAL NITCH REST AREA","","","","488","Ground water","PO Box 47328
Olympia, WA 98504","","","Pacific"
"DISTRICT 13 HEADQUARTERS STATION","","","","28","Ground water","3707 STEAMBOAT LP NW
OLYMPIA, WA 98502","","","Thurston"
"DIXIE WATER ASSOCIATION","","","","240","Ground water","PO Box 392
Walla Walla, WA 99362","","","Walla Walla"
"DJS COUNTRY MARKET INC","","","","187","Ground water","18419 BUCODA HWY SE
TENINO, WA 98589","","","Thurston"
"DOBLER JOHN D WATER SYSTEM","","","","128","Ground water","PO Box 123
Port Orchard, WA 98366","","","Pierce"
"DOCKTON WATER ASSOCIATION","","","","667","Ground water","9710 SW Windmill St
Vashon, WA 98070","","","King"
"DODSON IGA MARKET","","","","50","Ground water","3705 Mt Baker Hwy
Everson, WA 98247","","","Whatcom"
"DOE BAY WATER USERS ASSOC","","","","442","Surface water","PO Box 336
Gig Harbor, WA 98335","","","San Juan"
"DOMINION VIEW WATER ASSN","","","","37","Ground water","806 Douglas Falls Rd
Colville, WA 99114-8659","","","Stevens"
"DONNAS MINI MARKET WATER SYSTEM","","","","300","Ground water","PO Box 3387
Arlington, WA 98223","","","Snohomish"
"DOSEWALLIPS STATE PARK","","","","2,941","Ground water","PO Box 969
Brinnon, WA 98320","","","Jefferson"
"DOUBLE CREEK WATER ASSOCIATION","","","","24","Ground water","8615 Old Town Rd
Maple Falls, WA 98266","","","Skagit"
"DOUBLE K RETREAT & ADVENTURE CENTER","","","","42","Ground water","PO Box 98
Easton, WA 98925","","","Kittitas"
"DOUBLE L MOBILE HOME PARK","","","","58","Ground water","PO Box 1268
Ferndale, WA 98248","","","Whatcom"
"DOUBLE VIEW COMMUNITY CLUB","","","","47","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"DOUGLAS FIR CAMPGROUND - EAST","","","","45","Ground water","675 Gilman St
Palo Alto, CA 94301","","","Whatcom"
"DOUGLAS FIR CAMPGROUND - WEST","","","","45","Ground water","675 Gilman St
Palo Alto, CA 94301","","","Whatcom"
"DRAKES MOBILE HOME PARK","","","","36","Ground water","7788 Road F SE - Lot 8
Othello, WA 99344","","","Grant"
"DRIFTWOOD ACRES","","","","26","Ground water","3209 SR109
Copalis Beach, WA 98535","","","Grays Harbor"
"DRIFTWOOD ACRES MAINTENANCE CORP","","","","114","Ground water","PO Box 394
Cle Elum, WA 98922","","","Kittitas"
"DRIFTWOOD COVE","","","","168","Ground water","PO Box 1989
Poulsbo, WA 98370","","","Kitsap"
"DRIFTWOOD HEIGHTS #2 COMMUNITY ASSN","","","","40","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"DRIFTWOOD HEIGHTS ASSOCIATION","","","","201","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"DRIFTWOOD POINT WATER SYSTEM","","","","143","Ground water","13315 Goodnough Dr NW
Gig Harbor, WA 98332-8640","","","Pierce"
"DRIFTWOOD SHORES WATER SYSTEM INC","","","","222","Ground water","14263 Calhoun Rd
Mount Vernon, WA 98273","","","Island"
"DRIFTWOOD VALLEY ASSOC (DVA)","","","","83","Ground water","17911 Deschutes Dr SE
Yelm, WA 98597","","","Thurston"
"DRUSE WATER ASSOCIATION","","","","32","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Yakima"
"DRY FALLS STATE PARK","","","","519","Ground water","34875 Park Lake Rd NE
Coulee City, WA 99115","","","Grant"
"DRY SORT DOMESTIC","","","","80","Ground water","PO Box 123
Port Orchard, WA 98366","","","Mason"
"DRYDEN INDEPENDENT PLAZA & RV","","","","72","Ground water","PO Box 241
Dryden, WA 98821","","","Chelan"
"DRYDEN ORCHARD","","","","26","Ground water","PO Box 426
Dryden, WA 98821","","","Chelan"
"DUCK LAKE WATER ASSOCIATION","","","","272","Ground water","526 Ironwood St
Omak, WA 98841","","","Okanogan"
"DUCK SOUP INN","","","","96","Ground water","50 Duck Soup Ln.
Friday Harbor, WA 98250","","","San Juan"
"DUCKABUSH PARK ASSOCIATION","","","","13","Ground water","PO BOX 494
Brinnon, WA 98320","","","Jefferson"
"DUERR STEAMBOAT ANNIES","","","","207","Ground water","6115 Richardson Ln NW
Olympia, WA 98502","","","Thurston"
"DUGGAN FALLS","","","","100","Ground water","1087 Lewis River Rd PMB131
Woodland, WA 98674","","","Skamania"
"DUGUALLA COMMUNITY INC","","","","450","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"DUNBAR COVE DEVELOPMENT ASSOC.","","","","69","Ground water","PO Box 123
Port Orchard, WA 98366","","","Pierce"
"DUNES BIBLE CAMP","","","","154","Ground water","23515 PACIFIC HWY 1
OCEAN PARK, WA 98640","","","Pacific"
"DUNES LOOMIS LAKE","","","","29","Ground water","23515 PACIFIC HWY 1
OCEAN PARK, WA 98640","","","Pacific"
"DUNES RV RESORT 2001","","","","14","Ground water","1346 S Pearl Street
Seattle, WA 98108","","","Grays Harbor"
"DUNGENESS BAY PLAT","","","","440","Ground water","PO Box 1989
Sequim, WA 98382","","","Clallam"
"DUNGENESS BEACH","","","","181","Ground water","1371 THREE CRABS RD
SEQUIM, WA 98382","","","Clallam"
"DUNGENESS FORKS CAMPGROUND","","","","50","Ground water","USDA - FOREST SERVICE
1835 Black Lake Blvd SW STE A
Olympia, WA 98512-5623","","","Clallam"
"DUNGENESS HEIGHTS","","","","481","Ground water","P.O. Box 352
Yelm, WA 98597-0352","","","Clallam"
"DUNGENESS MEADOWS","","","","488","Ground water","PO BOX 92
SEQUIM, WA 98382","","","Clallam"
"DUPONT WATER SYSTEM CITY OF","","","","11,556","Ground water","1700 Civic Drive
DuPont, WA 98327","","","Pierce"
"DUVALL CITY OF","","","","8,992","Surface water purchased","PO Box 1300
Duvall, WA 98017","","","King"
"DYE SEED RANCH 1","","","","30","Ground water","PO BOX 610
POMEROY, WA ","","","Garfield"
"Dakota Creek Golf Club Water System","","","","89","Ground water","3258 Haynie Road
Custer, WA 98240","","","Whatcom"
"Danville Outpost","","","","25","Ground water","PO Box 104
Danville, WA 99121","","","Ferry"
"Darrington Town of","","","","2,130","Ground water","PO Box 397
Darrington, WA 98241","","","Snohomish"
"Deer Creek Water Assn/Guide South","","","","200","Surface water purchased","PO Box 30230
Bellingham, WA 98228","","","Whatcom"
"Dippy Ridge FWH","","","","25","Ground water","PO Box 2837
Wenatchee, WA 98807","","","Grant"
"Dirt Holdings Water System","","","","30","Ground water","PO Box 3788
Pasco, WA 99301","","","Franklin"
"Discovery Homes #1","","","","76","Ground water","PO Box 2026
Shelton, WA 98584-5034","","","Mason"
"Discovery Pointe Church","","","","27","Ground water","7208 NW 10th Avenue
Vancouver, WA 98665","","","Clark"
"Doc Stewart","","","","98","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Grant"
"Dog Island Goods","","","","96","Ground water","4268 Guemes Island Rd
Anacortes, WA 98221","","","Skagit"
"Dons Fruit Stand","","","","77","Ground water","32084 A Hwy 97 N
Tonasket, WA 98855","","","Okanogan"
"Dry Creek Water Association","","","","1,477","Ground water","3671 EDGEWOOD DR
PORT ANGELES, WA 98363","","","Clallam"
"Duane Jenks","","","","35","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Grant"
"E.L.C. WATER SYSTEM","","","","36","Ground water","828 Eastman Rd
Eastsound, WA 98245","","","San Juan"
"EAGLE COVE WATER ASSOCIATION","","","","65","Ground water","PO Box 2416
Friday Harbor, WA 98250","","","San Juan"
"EAGLE CREEK TAVERN","","","","83","Ground water","271 N EAGLE CREEK RD
LILLIWAUP, WA 98555","","","Mason"
"EAGLE ESTATES","","","","53","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Thurston"
"EAGLE HARBOR MARINA","","","","254","Ground water","PO Box 11380
Bainbridge Island, WA 98110","","","Kitsap"
"EAGLE LAKES RANCH","","","","43","Ground water","699 Sara Ln
Othello, WA 99344","","","Franklin"
"EAGLE PLAZA TRUCK STOP","","","","25","Ground water","PO Box 780
Napavine, WA 98565","","","Lewis"
"EAGLE RIDGE","","","","250","Ground water","4606 226TH PL NE
Arlington, WA 98223","","","Snohomish"
"EAGLE ROCK RESORT","","","","112","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Yakima"
"EAGLE VALLEY CAMPGROUND","","","","129","Ground water","PO Box 408
Grapeview, WA 98546","","","Kittitas"
"EAGLE VALLEY WATER SYSTEM","","","","135","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Skagit"
"EAGLEDALE PARK","","","","51","Ground water","7666 High School Road
Bainbridge Island, WA 98110","","","Kitsap"
"EAGLEMOUNT ROCKERY","","","","27","Ground water","1822 STATE HWY 20
PORT TOWNSEND, WA 98368","","","Jefferson"
"EAGLES NEST WATER SYSTEM","","","","40","Surface water purchased","PO Box 2243
Oak Harbor, WA 98277","","","Skagit"
"EARLY WINTERS CABINS","","","","22","Ground water","18 Early Winters Dr.
Mazama, WA 98833","","","Okanogan"
"EARLY WINTERS WC - METHOW RD","","","","48","Ground water","24 West Chewuch Rd
Winthrop, WA 98862","","","Okanogan"
"EASON DAN B","","","","254","Ground water","9020  MARTIN WY E
OLYMPIA, WA 98516","","","Thurston"
"EAST CRYSTAL LAKE ESTATES COMMUNITY","","","","38","Ground water","14263 Calhoun Rd
Mount Vernon, WA 98273","","","Snohomish"
"EAST ENTRANCE MT RAINIER","","","","2,263","Surface water","55210 238th Ave E
Ashford, WA 98304","","","Pierce"
"EAST GIG HARBOR WATER DISTRICT","","","","410","Ground water","13315 Goodnough Dr NW
Gig Harbor, WA 98332-8640","","","Pierce"
"EAST MONITOR WATER ASSN","","","","80","Ground water","PO Box 551
Monitor, WA 98836-0551","","","Chelan"
