"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"BETHEL WATER SYSTEM","","","","4,110","Ground water purchased","P O Box 28
6485 Hwy 61
WILSONVILLE, AL 35186","205-669-6821","WILSONVILLE","Shelby"
"BEULAH UTILITIES DISTRICT","","","","9,120","Surface water purchased","
3051 Frederick Road, Suite 1
OPELIKA, AL 36801","334-532-3201","","Lee"
"BIG OAK CAMPGROUND","","","","30","Ground water","
830 CO RD 732
CEDAR BLUFF, AL 35959","256-526-8723","CEDAR BLUFF","Cherokee"
"BIG WILLS WATER & FIRE PRO AUTHORITY","","","","2,301","Ground water","MR. JAHN COPPEY, CHAIRMAN
7191 DUCK SPRINGS ROAD
ATTALLA, AL 35954","256-538-7950","ATTALLA","Etowah"
"BILLINGSLEY WATER SYSTEM","","","","1,473","Ground water","Town Phone/Fax # 205-755-6031 PO Box 142
P. O. BOX 143
BILLINGSLEY, AL 36006","205-755-9809","BILLINGSLEY","Autauga"
"BIRMINGHAM AL VA MEDICAL CENTER","","","","1,500","Surface water purchased","700 19th Street Center
700 19th Street Center
BIRMINGHAM, AL 35233","205-933-8101","BIRMINGHAM","Jefferson"
"BIRMINGHAM WATER WORKS BOARD","http://www.birminghamwaterworks.com/index.php?option=com_content&task=section&id=66&Itemid=73","","","585,000","Surface water","
P.O. Box 830110
BIRMINGHAM, AL 35283","205-244-4406","BIRMINGHAM","Jefferson"
"BLACK WATER WORKS","","","","369","Ground water","
P O BOX 301
BLACK, AL 36314","334-684-1340","BLACK","Geneva"
"BLOUNT COUNTY WATER","","","","17,400","Surface water","18 Arena Drive
P.O. Box 609
CLEVELAND, AL 35049","205-625-5100","CLEVELAND","Blount"
"BLOUNTSVILLE UTILITIES BOARD","","","","4,266","Ground water","
69145 Main St.
BLOUNTSVILLE, AL 35031","256-429-2495","BLOUNTSVILLE","Blount"
"BLUE HOLE WATER COMPANY, INC., THE","","","","462","Surface water purchased","
55 Randolph Rd
HAYDEN, AL 35079","205-531-0326","","Blount"
"BLUE SPRINGS WATER WORKS","","","","600","Ground water","
2571 Highway 10
CLIO, AL 36017","","CLIO","Barbour"
"BOAZ WATER & SEWER BOARD","","","","14,325","Surface water purchased","108 E LINE AVE
P O BOX 498
BOAZ, AL 35957","256-593-4711","BOAZ","Marshall"
"BOLDO WATER & FIRE PROT. AUTHORITY","","","","4,440","Surface water purchased","
27526 ALABAMA 69
JASPER, AL 35504","205-221-4964","JASPER","Walker"
"BRANTLEY WATER WORKS","","","","1,485","Ground water","MR. LARRY P. MORGAN, ADMINISTRATOR
P O BOX 44
BRANTLEY, AL 36009","334-527-8624","BRANTLEY","Crenshaw"
"BRENT UTILITIES BOARD","","","","6,750","Ground water","
PO BOX 220
BRENT, AL 35034","205-926-4643","BRENT","Bibb"
"BREWTON WATER WORKS","","","","9,756","Ground water","
P O BOX 368
BREWTON, AL 36427","251-809-1780","BREWTON","Escambia"
"BRIDGEPORT UTILITIES BOARD","","","","5,505","Surface water","
P O BOX 36
BRIDGEPORT, AL 35740","256-495-2471","BRIDGEPORT","Jackson"
"BRILLIANT WATER WORKS","","","","1,605","Ground water","
P O BOX 407
BRILLIANT, AL 35548","205-465-2281","BRILLIANT","Marion"
"BROOKSIDE WATER WORKS","","","","2,550","Surface water purchased","
P.O. BOX 142
BROOKSIDE, AL 35036","205-674-9275","BROOKSIDE","Jefferson"
"BRUNDIDGE WATER DEPARTMENT","","","","3,672","Ground water","
P O BOX 638
BRUNDIDGE, AL 36010","334-735-2385","BRUNDIDGE","Pike"
"BUHL, ELROD & HOLMAN WATER AUTHORITY","","","","3,480","Ground water","
P O Box 127
BUHL, AL 36446","205-333-0231","BUHL","Tuscaloosa"
"BUTLER COUNTY WATER AUTHORITY","","","","14,052","Ground water","
P O BOX 547
GREENVILLE, AL 36037","334-382-4281","GREENVILLE","Butler"
"BUTLER WATER SYSTEM","","","","6,852","Ground water","
p.o. box 455
BUTLER, AL 36904","205-459-3795","BUTLER","Choctaw"
"CAA-CTC PLAINVIEW HEAD START PROGRAM","","","","245","Ground water","172 Broadnax Street
DADEVILLE, AL 36853","256-825-4204","DADEVILLE","Chambers"
"CALERA WATER WORKS","","","","23,748","Surface water","10947 Highway 25
10947 Highway 25
CALERA, AL 35040","205-668-7223","CALERA","Shelby"
"CALHOUN COUNTY WATER & FIRE PR AUTHORITY","","","","31,650","Surface water purchased","
P O BOX 200
ALEXANDRIA, AL 36250","256-820-3940","ALEXANDRIA","Calhoun"
"CAMDEN WATER & SEWER DEPARTMENT","","","","4,170","Ground water","
108 WATER STREET
CAMDEN, AL 36726","334-682-4603","CAMDEN","Wilcox"
"CAMP ALAMISCO","","","","70","Ground water","
1771 CAMP ALAMISCO ROAD
DADEVILLE, AL 36853","256-825-9482","DADEVILLE","Tallapoosa"
"CAMP ASCCA","","","","280","Ground water","
P.O. Box 21
JACKSON'S GAP, AL 36861","256-825-9226","","Tallapoosa"
"CAMP COTTAQUILLA GSA","","","","160","Ground water","105 heatherbrooke park drive
105 heatherbrooke park drive
BIRMINGHAM, AL 35242","205-980-4750","ANNISTON","Calhoun"
"CAMP HILL UTILITIES BOARD","","","","1,710","Surface water purchased","P O Box 100
CAMP HILL, AL 36850","256-896-4148","CAMP HILL","Tallapoosa"
"CAMP LEE","","","","25","Ground water","70 CAMP LEE MAIN ROAD
70 CAMP LEE MAIN ROAD
ANNISTON, AL 36207","256-238-8941","ANNISTON","Calhoun"
"CAMP MAC","","","","300","Ground water","
2671 CHEAHA ROAD
MUNFORD, AL 36268","256-362-7449","MUNFORD","Talladega"
"CAMP SUMATANGA","","","","100","Ground water","
3616 SUMATANGA ROAD
GALLANT, AL 35972","256-538-9860","GALLANT","St. Clair"
"CAMP VICTORY","","","","170","Ground water","
363 VICTORY CIRCLE
SAMSON, AL 36477","334-898-7948","SAMSON","Geneva"
"CARBON HILL UTILITIES BOARD","","","","3,207","Surface water purchased","
PO BOX 459
CARBON HILL, AL 35549","205-924-9313","CARBON HILL","Walker"
"CARROLLS CREEK WATER AUTHORITY","","","","14,619","Surface water purchased","
14462 FIREHOUSE RD
NORTHPORT, AL 35475","205-333-1143","NORTHPORT","Tuscaloosa"
"CARROLLTON WATER WORKS","","","","1,404","Ground water purchased","
P O BOX 169
CARROLLTON, AL 35447","205-367-8711","","Pickens"
"CASTLEBERRY WATER SYSTEM","","","","1,095","Ground water","
P.O. BOX 97
CASTLEBERRY, AL 36432","251-966-2141","CASTLEBERRY","Conecuh"
"CEDAR BLUFF UTILITIES BOARD","","","","3,753","Surface water purchased","4971 Alabama Hwy 68
1215 COUNTY ROAD 92
CEDAR BLUFF, AL 35959","256-779-6359","CEDAR BLUFF","Cherokee"
"CENTRAL ELMORE WATER AUTHORITY","","","","36,900","Surface water","CENTRAL ELMORE WATER AUTHORITY
P O BOX 816
WETUMPKA, AL 36092","334-512-0480","WETUMPKA","Elmore"
"CENTRAL TALLADEGA COUNTY WATER AUTHORITY","","","","3,393","Ground water","MR. JIMMY ARNOLD, MANAGER
24101 ALABAMA HIGHWAY 21
ALPINE, AL 35014","256-362-3953","ALPINE","Talladega"
"CENTRE WATER & SEWER BOARD","","","","7,050","Surface water","130 South River Street
130 S RIVER ST
CENTRE, AL 35960","256-927-3281","CENTRE","Cherokee"
"CENTREVILLE WATER & SEWER","","","","5,985","Ground water","
1270 WALNUT STREET
CENTREVILLE, AL 35042","205-926-9561","CENTREVILLE","Bibb"
"CHANDLER MTN/GREASY COVE WATER AUTHORITY","","","","1,815","Surface water purchased","P O Box 61
4210 Chandler Mountian Road
STEELE, AL 35987","256-538-6736","STEELE","St. Clair"
"CHATOM UTILITIES BOARD","","","","2,037","Ground water","
P.O. Box 427
CHATOM, AL 36518","251-847-2858","CHATOM","Washington"
"CHATTAHOOCHEE VALLEY WATER SUPPLY DIST","","","","32","Surface water","
102 SOUTHEAST 12TH STREET
LANETT, AL 36863","334-644-3777","LANETT","Chambers"
"CHEAHA STATE PARK","","","","570","Ground water","
19644 HIGHWAY 281
DELTA, AL 36258","256-488-0030","DELTA","Cleburne"
"CHEROKEE COUNTY WATER AUTHORITY","","","","11,013","Ground water","P O BOX 400
161 EAST MAIN STREET
CENTRE, AL 35960","256-927-8348","PIEDMONT","Cherokee"
"CHEROKEE WATER & GAS DEPARTMENT","","","","1,932","Surface water","
P O BOX 273
CHEROKEE, AL 35616","","CHEROKEE","Colbert"
"CHILDERSBURG WATER & SEWER  BOARD","","","","9,603","Ground water","
117 6TH AVENUE, SW
CHILDERSBURG, AL 35044","256-378-6063","CHILDERSBURG","Talladega"
"CHILDREN'S BIBLE MINISTRIES OF NORTH AL","","","","65","Ground water","
1018 County Road 734
MENTONE, AL 35984","256-634-4397","MENTONE","DeKalb"
"CHILTON WATER AUTHORITY","","","","27,681","Ground water","
P O BOX 1029
THORSBY, AL 35171","205-646-3300","THORSBY","Chilton"
"CHISHOLM HEIGHTS WATER & F P AUTHORITY","","","","4,314","Surface water purchased","
PO Box 3120
FLORENCE, AL 35630","256-718-0301","FLORENCE","Lauderdale"
"CHOCTAW-EDNA WATER AUTHORITY, INC.","","","","894","Ground water purchased","
PO BOX 220
PENNINGTON, AL 36130","205-654-2214","PENNINGTON","Choctaw"
"CITIZENS WATER SERVICE, INC.","","","","10,950","Surface water purchased","PO BOX 670
VANCE, AL 35490","205-556-2224","BROOKWOOD","Tuscaloosa"
"CLANTON WATER DEPARTMENT","","","","13,500","Surface water","
PO BOX 580
CLANTON, AL 35046","205-755-4178","CLANTON","Chilton"
"CLAY COUNTY WATER AUTHORITY","","","","1,818","Surface water","MR. JASON WATKINS, CHAIRMAN
P.O. BOX 365
ASHLAND, AL 36251","","LINEVILLE","Clay"
"CLAYTON WATER WORKS & SEWER","","","","2,235","Ground water","
P. O. BOX 249
CLAYTON, AL 36016","334-775-8495","CLAYTON","Barbour"
"CLEAR CREEK HARBOR, LLC","","","","50","Ground water","270 Marina Drive
2340 Joe Lee Drive
MOODY, AL 35004","205-903-3278","TALLADEGA","Talladega"
"CLEBURNE COUNTY WATER AUTHORITY","","","","7,350","Surface water purchased","
P O BOX 686
HEFLIN, AL 36264","256-463-7860","HEFLIN","Cleburne"
"CLEVELAND WATER WORKS","","","","3,516","Surface water purchased","HONORABLE JERRY JONES, MAYOR
PO BOX 186
CLEVELAND, AL 35049","205-274-9640","CLEVELAND","Blount"
"CLIO WATER WORKS","","","","2,730","Ground water","
3311 Elamville St.
CLIO, AL 36017","334-397-2723","CLIO","Barbour"
"COALING WATER AUTHORITY","","","","3,795","Surface water purchased","
P O BOX 146
COALING, AL 35449","205-553-5361","COALING","Tuscaloosa"
"COASTAL FOREST PRODUCTS, LLC","","","","300","Ground water","PO Box 38
CHAPMAN, AL 36015","334-376-2241","CHAPMAN","Butler"
"COFFEE COUNTY WATER AUTHORITY","","","","5,718","Ground water","
401 East Davis St
ELBA, AL 36323","334-897-0150","NEW BROCKTON","Coffee"
"COFFEEVILLE WATER WORKS (TOWN OF)","","","","2,730","Ground water","
p o box 88
COFFEEVILLE, AL 36524","251-276-3266","COFFEEVILLE","Clarke"
"COKER WATER AUTHORITY","","","","4,845","Ground water","
P.O. BOX 98
COKER, AL 35452","205-339-6946","COKER","Tuscaloosa"
"COLBERT COUNTY RURAL WATER SYSTEM","","","","10,731","Surface water","
2750 HWY 20
TUSCUMBIA, AL 35674","256-386-8504","TUSCUMBIA","Colbert"
"COLEMAN LAKE USFS REC AREA","","","","60","Ground water","45 Highway 281
45 Highway 281
HEFLIN, AL 36264","256-463-2272","HEFLIN","Cleburne"
"COLLINSVILLE WATER WORKS","","","","4,290","Surface water purchased","170 Main Street
PO Box 982
COLLINSVILLE, AL 35961","256-524-2188","COLLINSVILLE","DeKalb"
"COLUMBIA WATER WORKS","","","","1,188","Ground water","
P.O. Box 339
COLUMBIA, AL 36319","334-696-4417","COLUMBIA","Houston"
"COLUMBIANA WATER WORKS","","","","11,391","Ground water","
50 Water Works Street
COLUMBIANA, AL 35085","205-669-7956","COLUMBIANA","Shelby"
"COOK SPRINGS WATER AUTHORITY","","","","4,440","Ground water","
120 L Cooke Drive
PELL CITY, AL 35128","205-338-4220","","St. Clair"
"COOSA PINES RECREATION ASSOC., INC.","","","","25","Ground water","P O BOX 1248
3010 Berney Station
TALLADEGA, AL 35160","256-404-0903","TALLADEGA","Talladega"
"COOSA VALLEY WATER SUPPLY DISTRICT","","","","25","Surface water","
P O BOX 88
ODENVILLE, AL 35120","205-629-5801","ASHVILLE","St. Clair"
"COPELAND FERRY/PUMPKIN CENTER WA","","","","1,086","Surface water purchased","
46 Brasfield Drive
QUINTON, AL 35130","205-674-8385","GOODSPRINGS","Walker"
"CORDOVA WATER WORKS & GAS BOARD","","","","3,939","Surface water purchased","
20 MILL STREET
CORDOVA, AL 35550","205-483-9235","CORDOVA","Walker"
"COTTONWOOD WATER WORKS","","","","3,540","Ground water","
P.O. Box 447
COTTONWOOD, AL 36320","334-691-2671","COTTONWOOD","Houston"
"COVINGTON COUNTY WATER AUTHORITY","","","","13,224","Ground water","
22420 Tracks Lane
ANDALUSIA, AL 36420","334-428-2656","ANDALUSIA","Covington"
"COWARTS WATER SYSTEM","","","","2,262","Ground water","P.O. Box 69
COWARTS, AL 36321","334-792-8920","COWARTS","Houston"
"COWIKEE WATER AUTHORITY","","","","1,989","Ground water","
P.O. BOX 358 (1244 N. Eufaula Avenue)
EUFAULA, AL 36027","344-687-6333","EUFAULA","Barbour"
"CROSSVILLE WATER BOARD","","","","1,998","Surface water purchased","
P O BOX 157
CROSSVILLE, AL 35962","256-528-7163","CROSSVILLE","DeKalb"
"CUBA WATER BOARD","","","","591","Ground water purchased","
P O BOX 385
CUBA, AL 36907-0385","205-392-7181","CUBA","Sumter"
"CULLMAN COUNTY WATER DEPARTMENT","","","","49,800","Surface water purchased","
P O Box 1084
CULLMAN, AL 35055","256-734-2900","","Cullman"
"CULLMAN UTILITIES BOARD","","","","32","Surface water","1740 3rd Street South East
P O BOX 278
CULLMAN, AL 35056","256-739-0266","CULLMAN","Cullman"
"CULLMAN WATER WORKS, CITY OF","","","","35,922","Surface water purchased","
P O Box 278
CULLMAN, AL 35056","256-775-7211","CULLMAN","Cullman"
"CUMBERLAND MOUNTAIN WATER","","","","5,544","Surface water purchased","
20439 AL HWY 79
SCOTTSBORO, AL 35768","256-587-3333","SCOTTSBORO","Jackson"
"CURRY WATER AUTHORITY","","","","17,613","Surface water purchased","
PO BOX 3187
JASPER, AL 35502","205-221-4164","JASPER","Walker"
"CWM WATER AUTHORITY","","","","1,722","Surface water purchased","
5495-B BROOKSVILLE RD.
DICKINSON, AL 36436","334-636-8189","DICKINSON","Wilcox"
"DADEVILLE WATER WORKS & SEWAGE BOARD","","","","3,744","Surface water purchased","826 East Columbus Street
DADEVILLE, AL 36853","256-825-9242","DADEVILLE","Tallapoosa"
"DALE COUNTY WATER AUTHORITY","","","","7,932","Ground water","
283 Campus Drive
OZARK, AL 36360","334-774-3331","OZARK","Dale"
"DALEVILLE WATER & SEWER BOARD","","","","10,014","Ground water","
P.O. Box 188
DALEVILLE, AL 36322","334-599-3747","DALEVILLE","Dale"
"DALLAS COUNTY WATER & SEWER AUTHORITY","","","","4,152","Ground water","WANDA LIPSCOMB, OFFICE MANAGER
P O BOX 1413
SELMA, AL 36702-1413","334-872-2820","SELMA","Dallas"
"DAPHNE (UTILITIES BOARD OF THE CITY OF)","http://www.daphneutilities.com/daphne/water_ccr.htm","http://www.daphneutilities.com","","33,372","Ground water","
900 DAPHNE AVENUE
DAPHNE, AL 36526","251-626-2628","DAPHNE","Baldwin"
"DAUPHIN ISLAND WATER & SEWER","","","","5,802","Ground water","
PO BOX 400
DAUPHIN ISLAND, AL 36561","251-861-2363","DAUPHIN ISLAND","Mobile"
"DAVISTON WATER SYSTEM (TOWN OF)","","","","630","Surface water purchased","P O BOX 26
DAVISTON, AL 36256","256-395-2260","DAVISTON","Tallapoosa"
"DECATUR (MUNICIPAL UTILITIES BOARD OF)","http://decaturutilities.com/images/stories/DU/PDFS/Water_Quality_Report.pdf","http://decaturutilities.com","","77,100","Surface water","
P O BOX 2232
DECATUR, AL 35603","256-552-1428","DECATUR","Morgan"
"DEER PARK-VINEGAR BEND WATER & FPA","","","","1,467","Ground water","
P.O. BOX  249
DEERPARK, AL 36529","251-777-8380","DEER PARK","Washington"
"DEKALB-JACKSON WATER SUPPLY DISTRICT","","","","15,531","Surface water","21700 AL Highway 117
IDER, AL 35981","256-632-2254","","Jackson"
"DEMOPOLIS WATER WORKS AND SEWER BOARD","","","","10,530","Ground water","
P O Box 350 / 103 East Capitol
DEMOPOLIS, AL 36732","334-289-3328","DEMOPOLIS","Marengo"
"DETROIT WATER WORKS","","","","435","Ground water","HON. KEITH KING, MAYOR
P O BOX 114
DETROIT, AL 35552","205-596-3670","DETROIT","Lamar"
"DOLLAR GENERAL #19936 GORDON, AL","","","","32","Ground water","
88 CURTIS MIXON RD
GORDON, AL 36343","256-533-7287","GORDON","Houston"
"DOLLAR GENERAL #20059, AUBURN, AL","","","","25","Ground water","
P O BOX 18968
HUNTSVILLE, AL 35804","256-533-7287","AUBURN","Lee"
"DOLLAR GENERAL-BROADWAY GROUP, LLC","","","","25","Ground water","
P O BOX 18968
HUNTSVILLE, AL 35804","256-533-7287","LINEVILLE","Clay"
"DORA UTILITIES","","","","4,128","Surface water purchased","
2215 HWY 78, SUITE 10
DORA, AL 35062","205-648-6363","DORA","Walker"
"DOTHAN UTILITIES (CITY OF)","","","","93,459","Ground water","
P.O. BOX 2128
DOTHAN, AL 36302","334-615-3205","DOTHAN","Houston"
"DOUBLE SPRINGS (TOWN OF) W&S BOARD","","","","5,715","Surface water purchased","
P O BOX 279
DOUBLE SPRINGS, AL 35553","205-489-5447","DOUBLE SPRINGS","Winston"
"DOUGLAS WATER AUTHORITY","","","","16,632","Ground water","
P.O. Box 46
DOUGLAS, AL 35964","256-593-5010","DOUGLAS","Marshall"
"DOZIER WATER WORKS","","","","597","Ground water","
P O BOX 216
DOZIER, AL 36028","334-496-3742","DOZIER","Crenshaw"
"EAST ALABAMA WATER & FIRE PRO DISTRICT","","","","18,000","Surface water purchased","
P.O. BOX 37
VALLEY, AL 36854","334-756-7150","","Chambers"
"EAST BREWTON WATER & SEWER BOARD","","","","3,120","Ground water","P O Box 2010 (zip 36427)
615 Forrest Ave
EAST BREWTON, AL 36426","334-867-6612","EAST BREWTON","Escambia"
"EAST CENTRAL BALDWIN COUNTY WATER & FPA","","","","5,496","Ground water","22844 County Road 87
ROBERTSDALE, AL 36567","","ROBERTSDALE","Baldwin"
"EAST CULLMAN WATER SYSTEM","","","","12,444","Surface water purchased","
64 WESLEY AVE N
CULLMAN, AL 35058","256-796-5828","CULLMAN","Cullman"
"EAST LAUDERDALE COUNTY WATER AUTHORITY","","","","9,348","Ground water purchased","
2943 HIGHWAY 101
ROGERSVILLE, AL 35652","256-247-1606","ROGERSVILLE","Lauderdale"
"EAST LOWNDES WATER ASSOCIATION","","","","372","Ground water purchased","
1325 Ridge Rd
COLUMBUS, MS 39705","662-328-1065","","Lamar"
"ECH AAF","","","","30","Ground water","American Water Enterprises
9801 Red Cloud Rd
FT. RUCKER, AL 36362","334-503-1761","","Dale"
"ECLECTIC WATER WORKS & SEWER BOARD","","","","4,800","Ground water purchased","HON. GARY DAVENPORT, MAYOR
145 MAIN STREET
ECLECTIC, AL 36024","334-541-2180","ECLECTIC","Elmore"
"EDWARDSVILLE WATER & FIRE PRO AUTHORITY","","","","600","Surface water purchased","P O Box 8
P O Box 8
EDWARDSVILLE, AL 36261","","EDWARDSVILLE","Cleburne"
"ELBA WATER WORKS","","","","5,553","Ground water","
200 BUFORD STREET
ELBA, AL 36323","334-897-2333","ELBA","Coffee"
"ELDRIDGE WATER SYSTEM","","","","1,668","Ground water","MR. GILBERT BEHEL, CHAIRMAN
PO BOX 99
ELDRIDGE, AL 35554","205-924-4383","ELDRIDGE","Walker"
"ELMORE WATER & SEWER AUTHORITY","","","","12,690","Surface water purchased","MR. CHARLES R. BAZZELL, CHAIRMAN
P O BOX 220
ELMORE, AL 36025","334-285-6109","ELMORE","Elmore"
"ENERGY CENTER WATER SYSTEM","","","","2,700","Surface water purchased","
P.O. Box 1295
BIRMINGHAM, AL 35210","205-992-7693","BIRMINGHAM","Jefferson"
"ENGLEWOOD-HULLS WATER SYSTEM, INC.","","","","5,496","Surface water purchased","
P.O. BOX 70940
TUSCALOOSA, AL 35407","205-345-9333","TUSCALOOSA","Tuscaloosa"
"ENTERPRISE WATER WORKS","","","","48,000","Ground water","
PO Box 311000
ENTERPRISE, AL 36330","","ENTERPRISE","Coffee"
"EQUITY GROUP - EUFAULA DIVISION, LLC","","","","1,200","Ground water","
57 MELVIN CLARK ROAD
BAKERHILL, AL 36027","334-687-7790","BAKERHILL","Barbour"
"ESCAMBIA COMMUNITY UTILITIES LLC","","","","1,500","Ground water","
5811 JACK SPRINGS ROAD
ATMORE, AL 36502","251-446-1617","HUXFORD","Escambia"
"EUFAULA WATER WORKS","","","","17,958","Ground water","
840 WEST WASHINGTON STREET
EUFAULA, AL 36027","334-687-1227","EUFAULA","Barbour"
"EUREKA WATER SERVICE, INC.","","","","25","Ground water","P.O. Box 461
FRISCO CITY, AL 36445","251-267-3739","","Monroe"
