ID,State Code,County Code,Name,State Name,PWS ID,PWS Name,EPA Region,PWS Type,Population Served Count,Cities Served,Size,Oversample,URL of CCR,Most recent year?,Translation available?,RSCORE,TSCORE,Pages,Total Tests,Failed,Warning,Passed,User Verify,Not Applicable,ASCORE,Access Tags,Readability Tags
11,5,31,Craighead,Arkansas,AR0000688,LAWRENCE CO REG WATER DIST,Region 6,Community water system,7469,-,Medium,0,https://lawrencecountyregionalwater.myruralwater.com/documents/481/2019_Annual_Drinking_Water_Quality_Report.pdf,2020,No,-45.74,0,3,45,7,5,14,3,21,66.66666667,Original,Acceptable
12,5,7,Benton,Arkansas,AR0000349,MADISON CO WATER FACILITIES BD,Region 6,Community water system,9688,-,Medium,0,https://www.mcwfb.com/documents/925/CCR19_Madison_Co_WFB_349.pdf,2020,No,-56.19,0,2,45,39,4,8,4,27,17.0212766,Original,Acceptable
13,5,149,Yell,Arkansas,AR0000697,NE YELL COUNTY WATER ASSOC,Region 6,Community water system,6125,-,Medium,0,https://neycw.myruralwater.com/documents/470/697.pdf,2020,No,-76.49,0,3,45,1022,6,10,3,25,0.968992248,Autotagged,Acceptable
14,5,145,White,Arkansas,AR0000185,SW WHITE COUNTY WATER ASSN,Region 6,Community water system,10917,-,Large,0,https://www.ark.org/health/eng/ccr/185.pdf,2020,No,-78.32,0,4,45,801,8,10,3,25,1.233045623,Autotagged,Acceptable
15,5,0,Greene,Arkansas,AR0000722,CLAY CO REG WATER DISTRICT,Region 6,Community water system,5515,-,Medium,0,https://www.ark.org/health/eng/ccr/722.pdf,2020,No,-40.63,0,2,45,232,3,10,3,25,4.132231405,Autotagged,Acceptable
16,5,0,Faulkner,Arkansas,AR0000101,COMMUNITY WATER SYSTEM,Region 6,Community water system,17038,-,Large,0,https://www.ark.org/health/eng/ccr/101.pdf,2020,No,-61.88,0,3,45,443,6,10,3,25,2.207505519,Autotagged,Acceptable
17,5,23,Cleburne,Arkansas,AR0000735,WEST STONE COUNTY WATER ASSN,Region 6,Community water system,4634,-,Medium,0,https://www.ark.org/health/eng/ccr/735.pdf,2020,No,-42.18,0,3,45,473,5,10,3,25,2.070393375,Autotagged,Acceptable
18,5,45,Faulkner,Arkansas,AR0000844,BEAVERFORK VOLUNTEER FD WSD,Region 6,Community water system,3458,-,Medium,0,https://www.ark.org/health/eng/ccr/844.pdf,2020,No,-37.41,0,3,45,395,5,10,3,25,2.469135802,Autotagged,Acceptable
19,6,111,Ventura,California,CA5610008,PLEASANT VALLEY MUTUAL WATER CO,Region 9,Community water system,5000,-,Medium,1,https://www.pvmwc.com/reports,2019,No,-47.99,0,6,45,10,7,1,3,36,9.090909091,Autotagged,Acceptable
20,6,73,San Diego,California,CA3710015,"POWAY, CITY OF",Region 9,Community water system,49990,POWAY,Large,1,https://poway.org/DocumentCenter/View/6430/2018-Poway-Annual-Water-Quality-Report,2019,No,16.53,0,4,45,45,0,0,0,0,0,Corrupted,Acceptable
21,6,37,Los Angeles,California,CA1910030,GSWC - CULVER CITY,Region 9,Community water system,36192,SANTA FE SPRINGS,Large,1,https://www.gswater.com/sites/main/files/file-attachments/water-quality-2019-culver-city.pdf?1591302565,2020,Yes,-9.67,100,8,45,37,641,8,3,26,17.77777778,Original,Acceptable
22,6,37,Los Angeles,California,CA1910194,ROWLAND WATER DISTRICT,Region 9,Community water system,55038,-,Large,1,https://www.rowlandwater.com/wp-content/uploads/2020/06/RWD_CCR_20_FINAL_WEB.pdf,2020,No,-32.81,0,16,45,293,21,10,13,22,3.300330033,Autotagged,Acceptable
23,6,37,Los Angeles,California,CA1910017,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,Region 9,Community water system,127992,-,Very Large,1,https://yourscvwater.com/wp-content/uploads/2020/05/2020-SCV-Water-Quality-Report.pdf,2020,No,-1288.96,0,14,45,41,15,2,3,35,4.651162791,Autotagged,Acceptable
24,6,29,Kern,California,CA1510020,"TEHACHAPI, CITY OF",Region 9,Community water system,8839,TEHACHAPI,Medium,1,https://www.liveuptehachapi.com/DocumentCenter/View/5558/2019-Water-Quality-Report?bidId=,2020,No,23.36,0,5,45,215,164,12,3,19,5.286343612,Original,Acceptable
25,6,19,Fresno,California,CA1010021,"MENDOTA, CITY OF",Region 9,Community water system,11104,MENDOTA,Large,1,http://ci.mendota.ca.us/wp-content/uploads/2014/06/2018-Mendota-Water-Consumer-Confidence-Report.pdf,2019,Yes,-46.95,100,10,45,150,31,13,4,21,7.975460123,Original,Acceptable
26,6,1,Alameda,California,CA0110006,CITY OF HAYWARD,Region 9,Community water system,151600,HAYWARD,Very Large,1,https://www.hayward-ca.gov/sites/default/files/2019%20CCR%20%28Water%20Quality%20Report%29%20-%20Final%20Cover.pdf,2020,No,-8.66,0,8,45,631,17,14,3,19,2.170542636,Autotagged,Acceptable
27,6,61,Placer,California,CA3110003,FORESTHILL PUBLIC UTILITY DIST,Region 9,Community water system,6000,-,Medium,0,https://www.foresthillpud.com/pdf_files/Annual-Water-Quality-Reports/CCR-2019-FPUD.PDF,2020,Yes,-189.53,100,4,45,10,690,14,8,21,58.33333333,Autotagged,Acceptable
28,6,67,Sacramento,California,CA3410013,CALAM - LINCOLN OAKS,Region 9,Community water system,94183,-,Large,0,https://www.amwater.com/ccr/lincolnoaks.pdf,2020,Yes,-0.06,100,17,45,656,26,13,15,17,1.943198804,Autotagged,Acceptable
29,6,67,Sacramento,California,CA3410031,CALAM - ANTELOPE,Region 9,Community water system,68587,-,Large,0,https://www.amwater.com/ccr/antelope.pdf,2020,Yes,8.61,100,17,45,596,26,13,9,17,2.134646962,Autotagged,Acceptable
30,6,67,Sacramento,California,CA3410008,ELK GROVE WATER SERVICE,Region 9,Community water system,40461,-,Large,0,https://www.egwd.org/wp-content/uploads/FINAL-Elk-Grove-Water-District-6.5.19.pdf,2019,No,29.11,0,2,45,94,4,11,3,25,10.47619048,Autotagged,Acceptable
31,6,79,San Luis Obispo,California,CA4010002,ATASCADERO MUTUAL WATER CO,Region 9,Community water system,31787,-,Large,0,https://web.amwc.us/resources/CCR.pdf,2020,No,11.25,0,6,45,351,289,12,3,19,3.305785124,Original,Acceptable
32,6,83,Santa Barbara,California,CA4210020,SANTA YNEZ RIVER WATER CONS. DIST. ID#1,Region 9,Community water system,6737,-,Medium,0,https://s3.amazonaws.com/siteninja/multitenant/assets/30524/files/original/ID1_2019_Annual_WQ_Report_Final.pdf,2020,No,-114.01,0,8,45,737,17,14,7,18,1.864181092,Autotagged,Acceptable
33,6,63,Plumas,California,CA3210006,LAKE ALMANOR COUNTRY CLUB MWC,Region 9,Community water system,6000,-,Medium,0,http://www.laccmutualwater.org/uploads/9/6/4/8/9648300/2019_water_quality_report.pdf,2020,Yes,0,100,3,45,7,4,1,2,36,12.5,Autotagged,Error
34,6,17,El Dorado,California,CA0910013,GEORGETOWN DIVIDE PUD,Region 9,Community water system,9053,-,Medium,0,https://www.gd-pud.org/files/5c86aa1e3/2019+CCR+-+GDPUD_Final.pdf,2019,Yes,-501.27,100,6,45,242,3,14,3,19,5.46875,Original,Acceptable
35,6,61,Placer,California,CA3110026,NEVADA ID - NORTH AUBURN,Region 9,Community water system,6640,-,Medium,0,https://nidwater.com/wp-content/uploads/2020/06/NID-WQR-2019.pdf,2020,No,21.54,0,5,45,454,359,7,3,24,1.518438178,Original,Acceptable
36,6,107,Tulare,California,CA5410016,CWS - VISALIA,Region 9,Community water system,139924,-,Very Large,0,https://www.calwater.com/docs/ccr/2019/vis-vis-2019.pdf,2020,No,8.61,0,17,45,417,1311,12,4,16,2.797202797,Original,Acceptable
37,6,47,Merced,California,CA2410005,CITY OF LOS BANOS,Region 9,Community water system,40998,LOS BANOS,Large,0,http://www.losbanos.org/wp-content/uploads/2020/06/2410005-CityofLosBanos-2019-CCR.pdf,2020,Yes,-7.37,100,10,45,112,24,13,4,20,10.4,Original,Acceptable
38,8,59,Jefferson,Colorado,CO0130105,NORTH TABLE MOUNTAIN WSD,Region 8,Community water system,10000,-,Medium,0,https://www.ntmwater.org/wp-ntm-content/uploads/2020/05/CCR_2020.pdf,2020,No,-354.8,0,2,45,24,4,12,16,21,33.33333333,Original,Acceptable
39,8,41,El Paso,Colorado,CO0121455,MERIDIAN SERVICE MD,Region 8,Community water system,7807,-,Large,0,https://www.meridianranchmetro.org/documents/waterQualityReports/2020ConsumerConfidenceReport.pdf,2020,Yes,-35.69,100,6,45,402,12,14,4,19,3.365384615,Autotagged,Acceptable
40,8,69,Larimer,Colorado,CO0135291,FT COLLINS CITY OF,Region 8,Community water system,124262,-,Very Large,0,https://www.fcgov.com/utilities/img/site_specific/uploads/20-22248-2019-water-quality-report-final.pdf?1592426353,2020,Yes,6.14,100,5,45,189,577,10,4,19,5.025125628,Original,Acceptable
41,9,3,Hartford,Connecticut,CT0473011,CTWC - NORTHERN REG-WESTERN SYSTEM,Region 1,Community water system,98390,"EAST GRANBY, EAST WINDSOR, ELLINGTON, ENFIELD, MANCHESTER, MANSFIELD, SOUTH WINDSOR, SUFFIELD, TOLLAND, VERNON, WINDSOR LOCKS",Large,0,https://www.ctwater.com/media/2371/northern-western2019.pdf,2020,No,1.27,0,14,45,122,20,15,3,19,10.94890511,Original,Acceptable
42,9,11,New London,Connecticut,CT0590011,GROTON UTILITIES,Region 1,Community water system,30200,"GROTON, LEDYARD",Large,0,https://grotonutilities.com/download/water/water_quality_reports/2019.pdf,2020,No,-38.8,0,12,45,707,16,14,61,17,1.941747573,Autotagged,Acceptable
43,10,5,Sussex,Delaware,DE0000557,SUSSEX SHORES WATER COMPANY,Region 3,Community water system,12450,BETHANY BEACH,Large,0,https://www.sussexshoreswater.com/media/CCR%202020.pdf,2020,No,-1.82,0,3,45,231,88,7,5,24,2.941176471,Original,Acceptable
44,11,1,District of Columbia,District of Columbia,DC0000002,D.C. WATER AND SEWER AUTHORITY,Region 3,Community water system,"632,323",-,Very Large,0,https://www.dcwater.com/sites/default/files/2020_dcwater_water_quality_report_0.pdf,2020,Yes,18.39,100,25,45,292,880,7,3,24,2.341137124,Original,Acceptable
45,12,86,Miami-Dade,Florida,FL4134365,HIALEAH GARDENS,Region 4,Community water system,24156,HIALEAH GARDENS,Large,1,https://www.cityofhialeahgardens.com/Home/ShowDocument?id=1544,2020,Yes,23.47,100,2,45,1601,77,3,3,31,0.187032419,Autotagged,Acceptable
46,12,11,Broward,Florida,FL4060573,"HALLANDALE BEACH, CITY OF",Region 4,Community water system,40000,HALLANDALE BEACH,Large,1,https://hallandalebeachfl.gov/DocumentCenter/View/20424/2019-Water-Quality-Report,2020,Yes,30.98,100,8,45,279,216,12,3,19,4.12371134,Original,Acceptable
47,12,119,Sumter,Florida,FL6604862,LITTLE SUMTER UTILITIES 3WPS,Region 4,Community water system,25382,THE VILLAGES,Large,0,https://www.districtgov.org/departments/utilities/LSSA-2019-Water-Quality-Report.pdf,2020,No,-13.83,0,2,45,12,826,14,18,20,53.84615385,Original,Acceptable
48,12,101,Pasco,Florida,FL6510424,DADE CITY WATER DEPT,Region 4,Community water system,14373,DADE CITY,Large,0,https://www.dadecityfl.com/2019%20Dade%20City%20CCR.docx,2020,Yes,-433.13,100,2,45,232,3,13,9,19,5.306122449,Original,Acceptable
49,12,97,Osceola,Florida,FL3494428,ENTERPRISE CDD (CONSECUTIVE),Region 4,Community water system,8166,CELEBRATION,Medium,0,http://www.enterprisecdd.org/wp-content/uploads/2010/09/2019-water-quality-report.pdf,2020,No,20.28,0,3,45,37,4,13,3,20,26,Original,Acceptable
50,12,69,Lake,Florida,FL3350346,"EUSTIS, CITY OF (4 WPS)",Region 4,Community water system,35089,EUSTIS,Large,0,http://cms5.revize.com/revize/eustisfl/Eustis_FL_CCR-2019_WEB.pdf,2020,No,27.63,0,4,45,389,9,14,5,19,3.473945409,Autotagged,Acceptable
51,12,117,Seminole,Florida,FL3594107,SEMINOLE COUNTY NORTHWEST,Region 4,Community water system,31986,SANFORD,Large,0,http://www.seminolecountyfl.gov/core/fileparse.php/3234/urlt/Water-Quality-Report-for-2019-ADA.pdf,2020,No,-34.91,0,37,45,850,45,14,117,13,1.62037037,Original,Acceptable
52,12,99,Palm Beach,Florida,FL4501559,WEST PALM BEACH WTP,Region 4,Community water system,102000,WEST PALM BEACH,Very Large,0,https://www.wpb.org/home/showdocument?id=2296,2020,Yes,19.51,100,2,45,45,0,0,0,0,0,Corrupted,Acceptable
53,12,105,Polk,Florida,FL6535055,UIF - CYPRESS LAKES,Region 4,Community water system,3418,LAKELAND,Medium,0,https://www.myutility.us/docs/default-source/florida/2019/cypress-lakes-19ccr-095.pdf?sfvrsn=4,2020,No,-250.33,0,4,45,44,7,12,15,21,21.42857143,Original,Acceptable
54,12,83,Marion,Florida,FL6421144,MARION OAKS SUBDIVISION (5 WTPS),Region 4,Community water system,19401,OCALA,Large,0,https://www.marioncountyfl.org/home/showdocument?id=18782,2019,No,-49.09,0,2,45,14,1,12,4,26,46.15384615,Original,Acceptable
55,12,83,Marion,Florida,FL6424630,OAK RUN ESTATES (6 WTPS),Region 4,Community water system,11788,OCALA,Large,0,https://www.marioncountyfl.org/home/showdocument?id=18784,2019,No,-28.79,0,2,45,13,2,12,4,26,48,Original,Acceptable
56,12,117,Seminole,Florida,FL3590205,"SANFORD, CITY OF (2 WPS)",Region 4,Community water system,65216,SANFORD,Large,0,https://www.sanfordfl.gov/home/showdocument?id=21251,2020,No,21.54,0,2,45,382,4,15,2,19,3.778337531,Autotagged,Acceptable
57,12,3,Baker,Florida,FL2020204,MACCLENNY WTP,Region 4,Community water system,6391,MACCLENNY,Medium,0,http://www.cityofmacclenny.com/images/2018_CCR_City.pdf,2019,No,-126.43,0,4,45,123,8,15,3,20,10.86956522,Autotagged,Acceptable
58,13,105,Elbert,Georgia,GA1050001,ELBERTON,Region 4,Community water system,7800,ELBERTON,Medium,0,https://elbertonutilities.net/water-wastewater/forms-documents/Water%20Quality%20Report%202019.pdf,2020,No,-7.34,0,4,45,43,9,3,4,31,6.52173913,Original,Acceptable
59,13,81,Crisp,Georgia,GA0810001,CORDELE,Region 4,Community water system,11196,CORDELE,Large,0,https://nebula.wsimg.com/9b12eba5bedb983b21291e1146fc6892?AccessKeyId=5DE3111E17997895EBA3&disposition=0&alloworigin=1,2019,No,24.85,0,6,45,177,12,14,4,21,7.329842932,Original,Acceptable
60,13,9,Baldwin,Georgia,GA0090000,BALDWIN COUNTY,Region 4,Community water system,23067,-,Large,0,https://www.baldwincountyga.com/wp-content/uploads/2019/05/Water-Quality-Report.pdf,2019,No,0,0,4,45,8,5,1,2,36,11.11111111,Autotagged,Error
61,13,215,Muscogee,Georgia,GA2150000,COLUMBUS,Region 4,Community water system,229000,-,Very Large,0,http://www.cwwga.org/documentlibrary/598_Print%20Final.pdf,2020,No,23.5,0,16,45,252,22,15,4,18,5.617977528,Autotagged,Acceptable
62,13,51,Chatham,Georgia,GA0510229,SAVANNAH-WILMINGTON ISLAND,Region 4,Community water system,13526,-,Large,0,http://savannahwaterquality.com/reports/2020/savannah-main/,2020,No,34.22,0,9,45,268,12,10,4,23,3.597122302,Autotagged,Acceptable
63,13,185,Lowndes,Georgia,GA1850016,LOWNDES CO.-NORTH LOWNDES CO. WS,Region 4,Community water system,7194,LAKE PARK,Medium,0,https://www.lowndescounty.com/DocumentCenter/View/1339/Consumer-Confidence-Reports-2019,2020,No,-15.35,0,7,45,11,8,1,3,36,8.333333333,Autotagged,Acceptable
64,13,39,Camden,Georgia,GA0390001,ST. MARYS,Region 4,Community water system,17270,-,Large,0,http://www.stmarysga.gov/department/public_works/docs/Water_Quality_Reports/2019%20STMARY%20CCR.pdf,2020,No,19.44,0,4,45,13,9,12,4,22,48,Original,Acceptable
65,13,151,Henry,Georgia,GA1510000,HAMPTON,Region 4,Community water system,7305,HAMPTON,Medium,0,https://www.hcwa.com/skins/userfiles/files/HCWA_2020_CCR_web%20HQ.pdf,2020,No,-224.48,0,5,45,2,5,1,68,36,33.33333333,Original,Acceptable
66,13,137,Habersham,Georgia,GA1370002,CLARKESVILLE,Region 4,Community water system,5785,CLARKESVILLE,Medium,0,https://www.clarkesvillega.com/uploads/pdfs/CCR_report1.pdf,2020,No,-178.57,0,3,45,153,9,8,4,24,4.968944099,Original,Acceptable
67,13,241,Rabun,Georgia,GA2410118,RABUN COUNTY WATER & SEWER AUTHORITY,Region 4,Community water system,4587,CLAYTON,Medium,0,https://cityofclaytonga.gov/wp-content/uploads/2018/03/confidencereport.pdf,2018,No,0,0,5,45,9,6,1,2,36,10,Autotagged,Error
68,16,67,Minidoka,Idaho,ID5340017,RUPERT CITY OF,Region 10,Community water system,5645,-,Medium,0,http://www.rupert-idaho.com/wp-content/uploads/2019/06/CCR2018.pdf,2019,No,22.28,0,2,45,142,3,7,16,29,4.697986577,Autotagged,Acceptable
69,16,83,Twin Falls,Idaho,ID5420058,TWIN FALLS CITY OF,Region 10,Community water system,48260,-,Large,0,https://www.tfid.org/DocumentCenter/View/4612/2020-CCR-Report?bidId=,2020,No,38.28,0,2,45,115,4,15,7,19,11.53846154,Autotagged,Acceptable
70,16,47,Gooding,Idaho,ID5240009,GOODING CITY OF,Region 10,Community water system,3567,-,Medium,0,http://www.goodingidaho.org/departments/water-department/ccr-2017-report-is-my-water-safe/,2020,No,11.55,0,9,45,517,14,15,7,19,2.819548872,Original,Acceptable
71,17,31,Cook,Illinois,IL0312880,SKOKIE,Region 5,Community water system,64784,SKOKIE,Large,1,https://www.skokie.org/DocumentCenter/View/3640/Skokie-2019-Water-Quality-Report-PDF,2020,No,23.84,0,8,45,7,1281,12,3,22,63.15789474,Original,Acceptable
72,17,31,Cook,Illinois,IL0310450,CHICAGO HEIGHTS,Region 5,Community water system,30392,CHICAGO HEIGHTS,Large,1,http://cityofchicagoheights.org/DocumentCenter/View/2343/Consumer-Confidence-Report-2020,2020,No,-10.82,0,4,45,7,5,14,33,21,66.66666667,Original,Acceptable
73,17,31,Cook,Illinois,IL0311860,MELROSE PARK,Region 5,Community water system,25514,MELROSE PARK,Large,1,http://www.melrosepark.org/wp-content/uploads/2020/06/2019-Annual-Water-Quality-Report.pdf,2020,No,43.26,0,3,45,208,5,10,2,24,4.587155963,Autotagged,Acceptable
74,17,31,Cook,Illinois,IL0314740,PARK FOREST,Region 5,Community water system,21975,PARK FOREST,Large,1,http://www.vopfwaterreport.com/,2020,No,7.56,0,2,45,58,6,10,3,24,14.70588235,Autotagged,Acceptable
75,17,31,Cook,Illinois,IL0314180,BUFFALO GROVE,Region 5,Community water system,41266,BUFFALO GROVE,Large,1,https://issuu.com/vbg0/docs/waterccr_2019?fr=sMDdiZDU0MzE5,2020,No,-13.56,0,8,45,847,14,10,3,24,1.166861144,Autotagged,Acceptable
76,17,31,Cook,Illinois,IL0312730,ROLLING MEADOWS,Region 5,Community water system,24099,ROLLING MEADOWS,Large,1,https://www.cityrm.org/ArchiveCenter/ViewFile/Item/6534,2020,No,-0.97,0,6,45,225,9,12,9,18,5.063291139,Autotagged,Acceptable
77,17,31,Cook,Illinois,IL0315350,AQUA ILLINOIS-NORTH MAINE UTILITIES,Region 5,Community water system,30043,-,Large,1,https://www.aquaamerica.com/WaterQualityReports/2019/IL/IL0315350.pdf,2020,No,9.59,0,4,45,332,11,14,4,19,4.046242775,Autotagged,Acceptable
78,17,31,Cook,Illinois,IL0312520,POSEN,Region 5,Community water system,5820,POSEN,Medium,1,https://www.villageofposen.org/vop/wp-content/uploads/2020/05/2020-CCR-Water-Report-PPW.pdf,2020,No,-23.85,0,6,45,10,10,15,3,20,60,Original,Acceptable
79,17,31,Cook,Illinois,IL0312760,ROSEMONT,Region 5,Community water system,4300,ROSEMONT,Medium,1,https://www.rosemont.com/assets/1/7/2019_Water_Quality_Report.pdf,2020,No,17.85,0,6,45,171,9,5,2,30,2.840909091,Autotagged,Acceptable
80,17,29,Coles,Illinois,IL0290250,MATTOON,Region 5,Community water system,19000,MATTOON,Large,0,http://mattoon.illinois.gov/wp-content/uploads/CurrentCCR.pdf,2020,No,-22.66,0,5,45,400,11,10,2,24,2.43902439,Autotagged,Acceptable
81,17,143,Peoria,Illinois,IL1430200,CHILLICOTHE,Region 5,Community water system,5996,CHILLICOTHE,Medium,0,http://www.cityofchillicotheil.com/contact_us/public_works/docs/2019%20CCR%20report%20-%20Cleaned.pdf,2020,No,7.76,0,7,45,82,12,11,3,24,11.82795699,Autotagged,Acceptable
82,17,97,Lake,Illinois,IL0970840,LAKE VILLA,Region 5,Community water system,8829,LAKE VILLA,Medium,0,https://www.lake-villa.org/egov/documents/1588346710_40685.pdf,2020,No,-2266.75,0,4,45,182,6,10,11,24,5.208333333,Autotagged,Acceptable
83,17,163,St. Clair,Illinois,IL1630850,MILLSTADT,Region 5,Community water system,4380,MILLSTADT,Medium,0,http://www.villageofmillstadt.org/documents/2019-CCR.pdf,2020,No,0,0,9,45,14,10,1,2,35,6.666666667,Autotagged,Error
84,17,197,Will,Illinois,IL1970450,JOLIET,Region 5,Community water system,148693,JOLIET,Very Large,0,https://www.joliet.gov/Home/ShowDocument?id=26006,2020,No,36.66,0,6,45,98,11,13,7,18,11.71171171,Autotagged,Acceptable
85,17,119,Madison,Illinois,IL1195110,HOLIDAY SHORES SD,Region 5,Community water system,3387,-,Medium,0,http://water.epa.state.il.us/dww/JSP/SearchDispatch?number=&name=&county=All&WaterSystemType=All&SourceWaterType=All&PointOfContactType=None&SampleType=null&begin_date=1%2F24%2F2014&end_date=1%2F24%2F2016&action3=Review+Consumer+Confidence+Data,2020,No,-38.19,0,9,45,45,0,0,0,0,0,Corrupted,Acceptable
86,18,1,Adams,Indiana,IN5201002,DECATUR WATER DEPARTMENT,Region 5,Community water system,9500,DECATUR,Medium,0,http://www.decaturin.org/Documents/2020%20Drinking%20Water%20Quality%20Report.pdf,2020,No,0,0,2,45,6,3,1,2,36,14.28571429,Autotagged,Error
87,18,157,Tippecanoe,Indiana,IN5279015,PURDUE UNIV. WATER WORKS,Region 5,Community water system,55000,WEST LAFAYETTE,Large,0,https://www.purdue.edu/physicalfacilities/units/energy-utilities/ccr-report.pdf,2020,No,-18.91,0,7,45,54,7,15,13,19,21.73913043,Original,Acceptable
88,18,173,Warrick,Indiana,IN5287004,INDIANA AMERICAN WATER - NEWBURGH,Region 5,Community water system,19898,NEWBURGH,Large,0,https://www.amwater.com/ccr/newburgh.pdf,2020,No,12.94,0,8,45,194,15,15,5,19,7.177033493,Original,Acceptable
89,18,113,Noble,Indiana,IN5257008,KENDALLVILLE WATER DEPARTMENT,Region 5,Community water system,9905,KENDALLVILLE,Medium,0,https://www.kendallville-in.org/pdf/water/ccr.pdf,2020,No,-140.1,0,2,45,136,3,6,2,31,4.225352113,Original,Acceptable
90,18,41,Fayette,Indiana,IN5221001,CONNERSVILLE UTILITIES,Region 5,Community water system,15000,CONNERSVILLE,Large,0,http://connersvillecommunity.com/Portals/0/Documents/Utilities/CCR%202020.pdf,2020,No,4.31,0,2,45,10,719,12,4,21,54.54545455,Original,Acceptable
91,18,93,Lawrence,Indiana,IN5247004,NORTH LAWRENCE WATER AUTHORITY,Region 5,Community water system,13300,BEDFORD,Large,0,https://northlawrencewater.com/documents/770/CCR_2019.pdf,2020,No,22.99,0,4,45,141,7,10,3,24,6.622516556,Original,Acceptable
92,18,89,Lake,Indiana,IN5245015,INDIANA AMERICAN WATER - NORTHWEST,Region 5,Community water system,173525,"GARY, MERRILLVILLE",Very Large,0,https://www.amwater.com/ccr/greatergaryarea.pdf,2020,No,12.43,0,9,45,217,19,15,7,18,6.465517241,Original,Acceptable
93,18,173,Warrick,Indiana,IN5287001,VEOLIA WATER OF BOONVILLE,Region 5,Community water system,10260,BOONVILLE,Large,0,http://cms4.revize.com/revize/boonville/Veolia%20Water%20CCR%20Updated%206.12.2020.pdf,2020,No,35.75,0,4,45,9,11,5,3,31,35.71428571,Original,Acceptable
94,18,107,Montgomery,Indiana,IN5254005,INDIANA AMERICAN WATER - CRAWFORDSVILLE,Region 5,Community water system,14855,CRAWFORDSVILLE,Large,0,https://www.amwater.com/ccr/crawfordsville.pdf,2020,No,2.45,0,9,45,233,16,15,5,18,6.048387097,Original,Acceptable
95,19,167,Sioux,Iowa,IA8486053,SIOUX CENTER MUNICIPAL WATER DEPARTMENT,Region 7,Community water system,7050,SIOUX CENTER,Medium,0,https://www.siouxcenter.org/DocumentCenter/View/624/Annual-Water-Quality-Report?bidId=,2020,No,-184.35,0,3,45,27,4,6,4,29,18.18181818,Autotagged,Acceptable
