PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Primacy Type,Primary Source,Activity Status,Deactivation Date,Population Served Count,Population Category,Rule Name,Violation Code,Violation Type,Violation Category Code,Is Health Based,Contaminant Name,Compliance Period Begin Date,Compliance Period End Date,Compliance Status,RTC Date,Enforcement Action Type Code,Enforcement Action Description,Is Major Violation,Severity Indicator Count,Public Notification Tier,Violation First Reported Date
TX1720001,CITY OF DAINGERFIELD,Region 6,Texas,Community water system,State,Surface water purchased,Active,-,"4,047",Medium,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,1-Jan-20,31-Jan-20,Known,-,SIE,State Public Notification requested,N,-,3,19-May-20
AK2224646,WASILLA WATER SYSTEM,Region 10,Alaska,Community water system,State,Ground water,Active,-,"18,412",Large,Stage 1 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Chlorine,1-Jan-20,31-Mar-20,Returned to Compliance,18-Mar-20,SOX,State Compliance achieved,Y,-,3,18-May-20
GA1850016,LOWNDES CO.-NORTH LOWNDES CO. WS,Region 4,Georgia,Community water system,State,Ground water,Active,-,"7,194",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Total Haloacetic Acids (HAA5),1-Jan-20,31-Mar-20,Known,-,SIE,State Public Notification requested,-,1,2,17-Jun-20
LA1073046,SOUTH MONROE WS GOWC,Region 6,Louisiana,Community water system,State,Ground water,Active,-,"7,577",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,1-Jan-20,31-Mar-20,Known,-,SIF,State Public Notification received,-,1,2,30-Mar-20
OR4100957,WINSTON-DILLARD WATER DISTRICT,Region 10,Oregon,Community water system,State,Surface water,Active,-,"8,060",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,TTHM,1-Jan-20,31-Mar-20,Known,-,-,-,Y,2,3,19-May-20
OR4100957,WINSTON-DILLARD WATER DISTRICT,Region 10,Oregon,Community water system,State,Surface water,Active,-,"8,060",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),1-Jan-20,31-Mar-20,Known,-,-,-,Y,2,3,19-May-20
WI2410556,BROWN DEER WATERWORKS,Region 5,Wisconsin,Community water system,State,Surface water purchased,Active,-,"12,741",Large,Stage 1 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Chloramine,1-Jan-20,31-Mar-20,Known,-,-,-,Y,-,3,28-May-20
AR0000697,NE YELL COUNTY WATER ASSOC,Region 6,Arkansas,Community water system,State,Surface water purchased,Active,-,"6,125",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,1-Jan-20,31-Mar-20,Known,-,SFJ,State Formal Notice of Violation issued,-,1,2,18-Jun-20
WV3302502,FAIRMONT CITY OF,Region 3,West Virginia,Community water system,State,Surface water,Active,-,"29,864",Large,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,1-Jan-20,-,Open,-,SFJ,State Formal Notice of Violation issued,-,-,3,18-May-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Nitrates,3,"Monitoring, Regular",MR,N,Nitrite,1-Jan-20,31-Mar-20,Known,-,-,-,Y,-,3,18-May-20
TX0710018,EL PASO COUNTY WCID 4 FABENS,Region 6,Texas,Community water system,State,Ground water,Active,-,"8,100",Medium,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,30-Dec-19,-,Open,-,SIA,State Violation/Reminder Notice,-,-,3,25-Mar-20
NJ2108001,HACKETTSTOWN MUA,Region 2,New Jersey,Community water system,State,Ground water,Active,-,"22,000",Large,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,30-Dec-19,-,Open,-,SFJ,State Formal Notice of Violation issued,-,-,3,19-Mar-20
WV3301042,GAULEY RIVER PSD,Region 3,West Virginia,Community water system,State,Surface water purchased,Active,-,"4,168",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),1-Dec-19,28-Feb-20,Known,-,-,-,Y,2,3,18-May-20
WV3301042,GAULEY RIVER PSD,Region 3,West Virginia,Community water system,State,Surface water purchased,Active,-,"4,168",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,TTHM,1-Dec-19,28-Feb-20,Known,-,-,-,Y,2,3,18-May-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Public Notice Rule,75,Public Notification Violation for NPDWR Violation,Other,N,Public Notice,14-Nov-19,-,Open,-,SFJ,State Formal Notice of Violation issued,-,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Public Notice Rule,75,Public Notification Violation for NPDWR Violation,Other,N,Public Notice,14-Nov-19,-,Open,-,SFJ,State Formal Notice of Violation issued,-,-,3,19-Feb-20
AL0001265,ALEXANDER CITY WATER DEPARTMENT,Region 4,Alabama,Community water system,State,Surface water,Active,-,"29,565",Large,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),13-Nov-19,16-Feb-20,Returned to Compliance,24-Mar-20,SOX,State Compliance achieved,Y,10,3,20-May-20
AL0001265,ALEXANDER CITY WATER DEPARTMENT,Region 4,Alabama,Community water system,State,Surface water,Active,-,"29,565",Large,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,TTHM,13-Nov-19,16-Feb-20,Returned to Compliance,24-Mar-20,SOX,State Compliance achieved,Y,10,3,20-May-20
MI0003760,LANSING BOARD OF WATER & LIGHT,Region 5,Michigan,Community water system,State,Ground water,Active,-,"166,000",Extra Large,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,1-Nov-19,30-Nov-19,Returned to Compliance,26-Dec-19,SOX,State Compliance achieved,N,-,3,27-Feb-20
OK3004001,LEFLORE CO. RWD #14,Region 6,Oklahoma,Community water system,State,Surface water purchased,Active,-,"9,077",Medium,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,1-Nov-19,30-Nov-19,Known,-,SIE,State Public Notification requested,N,-,3,1-Apr-20
TX1940002,CITY OF CLARKSVILLE,Region 6,Texas,Community water system,State,Ground water,Active,-,"4,548",Medium,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,1-Oct-19,31-Oct-19,Returned to Compliance,27-Dec-19,SOX,State Compliance achieved,N,-,3,27-Feb-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,1-Oct-19,31-Oct-19,Returned to Compliance,22-Nov-19,SOX,State Compliance achieved,N,-,3,25-Mar-20
KS2010312,LANSING CORRECTIONAL FACILITY,Region 7,Kansas,Community water system,State,Surface water purchased,Active,-,"3,500",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),1-Oct-19,31-Dec-19,Known,-,SIF,State Public Notification received,Y,2,3,18-Feb-20
LA1073046,SOUTH MONROE WS GOWC,Region 6,Louisiana,Community water system,State,Ground water,Active,-,"7,577",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,1-Oct-19,31-Dec-19,Known,-,SID,State Site Visit for enforcement purposes,-,1,2,31-Dec-19
NJ0610001,MILLVILLE WATER DEPARTMENT,Region 2,New Jersey,Community water system,State,Ground water,Active,-,"27,500",Large,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,TTHM,1-Oct-19,31-Dec-19,Returned to Compliance,5-Dec-19,SFJ,State Formal Notice of Violation issued,Y,4,3,19-Mar-20
NJ0610001,MILLVILLE WATER DEPARTMENT,Region 2,New Jersey,Community water system,State,Ground water,Active,-,"27,500",Large,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),1-Oct-19,31-Dec-19,Returned to Compliance,5-Dec-19,SFJ,State Formal Notice of Violation issued,Y,4,3,19-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Dalapon,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Picloram,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Dinoseb,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,"2,4,5-TP",1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Pentachlorophenol,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Endrin,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,BHC-GAMMA,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Methoxychlor,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Toxaphene,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Di(2-ethylhexyl) adipate,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Simazine,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Di(2-ethylhexyl) phthalate,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Hexachlorocyclopentadiene,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Atrazine,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,LASSO,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Heptachlor,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Heptachlor epoxide,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,HEXACHLOROBENZENE,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Benzo(a)pyrene,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
WA5300710,Snake River Housing Water System,Region 10,Washington,Community water system,State,Ground water,Active,-,"3,936",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Chlordane,1-Oct-19,31-Dec-19,Known,-,-,-,Y,-,3,25-Mar-20
KS2010312,LANSING CORRECTIONAL FACILITY,Region 7,Kansas,Community water system,State,Surface water purchased,Active,-,"3,500",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,TTHM,1-Oct-19,31-Dec-19,Known,-,SIF,State Public Notification received,Y,2,3,18-Feb-20
IL1195110,HOLIDAY SHORES SD,Region 5,Illinois,Community water system,State,Surface water,Active,-,"3,387",Medium,Public Notice Rule,75,Public Notification Violation for NPDWR Violation,Other,N,Public Notice,15-Sep-19,-,Returned to Compliance,26-Sep-19,SIA,State Violation/Reminder Notice,-,-,3,11-Feb-20
PA1090128,DTMA MAIN SYSTEM,Region 3,Pennsylvania,Community water system,State,Surface water purchased,Active,-,"8,655",Medium,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,1-Sep-19,-,Returned to Compliance,21-Nov-19,SOX,State Compliance achieved,-,-,3,19-Dec-19
PA1090128,DTMA MAIN SYSTEM,Region 3,Pennsylvania,Community water system,State,Surface water purchased,Active,-,"8,655",Medium,Surface Water Treatment Rule,36,Monitoring of Treatment (SWTR-Filter),MR,N,Surface Water Treatment Rule,1-Sep-19,30-Sep-19,Returned to Compliance,21-Nov-19,SOX,State Compliance achieved,N,-,3,19-Dec-19
FL2020204,MACCLENNY WTP,Region 4,Florida,Community water system,State,Ground water,Active,-,"6,391",Medium,Ground Water Rule,34,"Monitoring, Source Water (GWR)",MR,N,E. COLI,1-Sep-19,-,Returned to Compliance,17-Dec-19,SOX,State Compliance achieved,Y,-,3,20-Nov-19
NE3112703,"AUBURN, CITY OF",Region 7,Nebraska,Community water system,State,Groundwater under influence of surface water,Active,-,"3,460",Medium,Long Term 2 Enhanced Surface Water Treatment Rule,41,Treatment Technique (SWTR and GWR),TT,Y,Long Term 2 Enhanced Surface Water Treatment Rule,1-Sep-19,30-Sep-19,Returned to Compliance,1-Nov-19,SOX,State Compliance achieved,-,-,2,27-Nov-19
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,1-Sep-19,30-Sep-19,Returned to Compliance,17-Oct-19,SIE,State Public Notification requested,N,-,3,15-Nov-19
NE3112703,"AUBURN, CITY OF",Region 7,Nebraska,Community water system,State,Groundwater under influence of surface water,Active,-,"3,460",Medium,Surface Water Treatment Rule,41,Treatment Technique (SWTR and GWR),TT,Y,Surface Water Treatment Rule,1-Sep-19,30-Sep-19,Returned to Compliance,1-Nov-19,SOX,State Compliance achieved,-,-,2,27-Nov-19
TX1940002,CITY OF CLARKSVILLE,Region 6,Texas,Community water system,State,Ground water,Active,-,"4,548",Medium,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,1-Sep-19,30-Sep-19,Returned to Compliance,15-Nov-19,SOX,State Compliance achieved,N,-,3,19-Nov-19
MS0250021,REEDTOWN WATER ASSN,Region 4,Mississippi,Community water system,State,Ground water,Active,-,"5,040",Medium,Revised Total Coliform Rule,4A,"Reporting, Assessment Forms (RTCR)",RPT,N,Revised Total Coliform Rule,1-Sep-19,-,Open,-,SFJ,State Formal Notice of Violation issued,-,-,3,18-Feb-20
PR0004945,LAS BOCAS,Region 2,Puerto Rico,Community water system,Territory,Surface water,Active,-,"5,357",Medium,Public Notice Rule,75,Public Notification Violation for NPDWR Violation,Other,N,Public Notice,9-Aug-19,-,Open,-,SFJ,State Formal Notice of Violation issued,-,-,3,27-Feb-20
MI0003780,"LAPEER, CITY OF",Region 5,Michigan,Community water system,State,Surface water purchased,Active,-,"8,841",Medium,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,1-Aug-19,31-Aug-19,Returned to Compliance,16-Sep-19,SIE,State Public Notification requested,N,-,3,5-Dec-19
TX1940002,CITY OF CLARKSVILLE,Region 6,Texas,Community water system,State,Ground water,Active,-,"4,548",Medium,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,1-Aug-19,31-Aug-19,Returned to Compliance,15-Nov-19,SOX,State Compliance achieved,N,-,3,19-Nov-19
NJ1424001,SOUTHEAST MORRIS COUNTY MUA,Region 2,New Jersey,Community water system,State,Surface water,Active,-,"62,349",Large,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,1-Jul-19,-,Returned to Compliance,26-Jul-19,SFJ,State Formal Notice of Violation issued,-,-,3,12-Dec-19
AK2224646,WASILLA WATER SYSTEM,Region 10,Alaska,Community water system,State,Ground water,Active,-,"18,412",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"Xylenes, Total",1-Jul-19,30-Sep-19,Returned to Compliance,7-Nov-19,SOX,State Compliance achieved,Y,-,3,19-Nov-19
TX1940002,CITY OF CLARKSVILLE,Region 6,Texas,Community water system,State,Ground water,Active,-,"4,548",Medium,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,1-Jul-19,31-Jul-19,Returned to Compliance,15-Nov-19,SOX,State Compliance achieved,N,-,3,23-Sep-19
WV3302804,BLUEWELL PSD,Region 3,West Virginia,Community water system,State,Surface water purchased,Active,-,"6,216",Medium,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,1-Jul-19,-,Returned to Compliance,1-Aug-19,SOX,State Compliance achieved,-,-,3,18-Nov-19
PA1090128,DTMA MAIN SYSTEM,Region 3,Pennsylvania,Community water system,State,Surface water purchased,Active,-,"8,655",Medium,Stage 1 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Chlorine,1-Jul-19,30-Sep-19,Returned to Compliance,21-Nov-19,SOX,State Compliance achieved,Y,-,3,19-Dec-19
NC0188010,"BREVARD, CITY OF",Region 4,North Carolina,Community water system,State,Surface water,Active,-,"10,686",Large,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,1-Jul-19,-,Returned to Compliance,16-Oct-19,SOX,State Compliance achieved,-,-,3,14-Nov-19
LA1073046,SOUTH MONROE WS GOWC,Region 6,Louisiana,Community water system,State,Ground water,Active,-,"7,577",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,1-Jul-19,30-Sep-19,Known,-,SID,State Site Visit for enforcement purposes,-,1,2,30-Sep-19
NJ0610001,MILLVILLE WATER DEPARTMENT,Region 2,New Jersey,Community water system,State,Ground water,Active,-,"27,500",Large,Lead and Copper Rule,53,Water Quality Parameter M/R,MR,N,Lead and Copper Rule,1-Jul-19,31-Dec-19,Returned to Compliance,6-Nov-19,SFJ,State Formal Notice of Violation issued,-,-,3,19-Mar-20
NJ1525001,POINT PLEASANT BEACH WATER DEPARTMENT,Region 2,New Jersey,Community water system,State,Surface water purchased,Active,-,"12,000",Large,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,1-Jul-19,-,Returned to Compliance,2-Aug-19,SFJ,State Formal Notice of Violation issued,-,-,3,12-Dec-19
AK2224646,WASILLA WATER SYSTEM,Region 10,Alaska,Community water system,State,Ground water,Active,-,"18,412",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,DICHLOROMETHANE,1-Jul-19,30-Sep-19,Returned to Compliance,7-Nov-19,SOX,State Compliance achieved,Y,-,3,19-Nov-19
AK2224646,WASILLA WATER SYSTEM,Region 10,Alaska,Community water system,State,Ground water,Active,-,"18,412",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,o-Dichlorobenzene,1-Jul-19,30-Sep-19,Returned to Compliance,7-Nov-19,SOX,State Compliance achieved,Y,-,3,19-Nov-19
AK2224646,WASILLA WATER SYSTEM,Region 10,Alaska,Community water system,State,Ground water,Active,-,"18,412",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,p-Dichlorobenzene,1-Jul-19,30-Sep-19,Returned to Compliance,7-Nov-19,SOX,State Compliance achieved,Y,-,3,19-Nov-19
AK2224646,WASILLA WATER SYSTEM,Region 10,Alaska,Community water system,State,Ground water,Active,-,"18,412",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Vinyl chloride,1-Jul-19,30-Sep-19,Returned to Compliance,7-Nov-19,SOX,State Compliance achieved,Y,-,3,19-Nov-19
AK2224646,WASILLA WATER SYSTEM,Region 10,Alaska,Community water system,State,Ground water,Active,-,"18,412",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1-Dichloroethylene",1-Jul-19,30-Sep-19,Returned to Compliance,7-Nov-19,SOX,State Compliance achieved,Y,-,3,19-Nov-19
AK2224646,WASILLA WATER SYSTEM,Region 10,Alaska,Community water system,State,Ground water,Active,-,"18,412",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"trans-1,2-Dichloroethylene",1-Jul-19,30-Sep-19,Returned to Compliance,7-Nov-19,SOX,State Compliance achieved,Y,-,3,19-Nov-19
AK2224646,WASILLA WATER SYSTEM,Region 10,Alaska,Community water system,State,Ground water,Active,-,"18,412",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-Dichloroethane",1-Jul-19,30-Sep-19,Returned to Compliance,7-Nov-19,SOX,State Compliance achieved,Y,-,3,19-Nov-19
