Water System Name,CCR Website,Water System Website,Water System Alias,Population Served,Source Type,System Address,Contact Phone,Cities Served,Counties Served
ALDERWOOD WATER DISTRICT,http://www.alderwoodwater.com/OurWater.ashx?p=1161,,,"190,177",Surface water purchased,"3626 156th St SW
Lynnwood, WA 98087",,,Snohomish
BASTROP WATER SYSTEM,http://water.com/CCR.html,http://water.com/CCR.html,,"18,741",Ground water,"PEOPLES WATER OF BASTROP
P O BOX 70
BASTROP, LA 71220",318-281-2161,,Morehouse Parish
BATON ROUGE WATER COMPANY,http://www.batonrougewater.com/indexfrhome.htm,,,"527,067",Ground water,"Dennis McGehee
PO BOX 96016
BATON ROUGE, LA 70896",225-928-1000,,East Baton Rouge Parish
BIRMINGHAM WATER WORKS BOARD,http://www.birminghamwaterworks.com/index.php?option=com_content&task=section&id=66&Itemid=73,,,"585,000",Surface water,"
P.O. Box 830110
BIRMINGHAM, AL 35283",205-244-4406,BIRMINGHAM,Jefferson
ABERDEEN - CLIFFWOOD/CLIFFWOOD BEACH,http://water.epa.gov/drink/local/nj.cfm,http://water.epa.gov/drink/local/nj.cfm,,"6,775",Surface water purchased,"1 ABERDEEN SQUARE
ABERDEEN TOWNSHIP, NJ 07747",732-583-4200,ABERDEEN TWP-1330,Monmouth
AKRON CITY PWS,http://www.ci.akron.oh.us/pubutl.html,,,"280,000",Surface water,"1570 RAVENNA ROAD
KENT, OH 44240",330-678-0077,,Summit
AMES WATER TREATMENT PLANT,http://www.cityofames.org/index.aspx?page=171,http://www.cityofames.org/index.aspx?page=171,,"50,029",Ground water,"ATTN LYLE HAMMES WATER SUPERINTENDENT
1800 EAST 13TH STREET
AMES, IA 50010",515-239-5150,AMES,Story
AMESBURY DPW  WATER DIV.,http://schoolsites.schoolworld.com/schools/AmesburyPS/files/filesystem/final2009ccr.pdf,http://www.amesburyma.gov/government.cfm?subpage=193741,,"16,283",Surface water,"39 SOUTH HUNT RD
AMESBURY, MA 01913",9783880853,AMESBURY,Essex
"ALEXANDRIA, CITY OF",http://www.amwater.com/vaaw/working-with-us/water-quality-reports.html,,,"146,970",Surface water purchased,"2223 DUKE STREET
ALEXANDRIA, VA 22314",703-706-3864,ALEXANDRIA,
BOULDER CITY,http://www.bcnv.org/?q=waterreport,,,"15,000",Surface water purchased,"401 CALIFRONIA AVE
BOULDER CITY, NV 89005",702-293-9266,BOULDER CITY,Clark
ARTESIA MUNICIPAL WATER SYSTEM,http://www.artesianm.com/ArtesiaMuni%20CCR.pdf,http://www.artesianm.com,,"12,699",Ground water,"
612 N. ROSELAWN
ARTESIA, NM 88210",575-746-9821,ARTESIA,Eddy
ALAMEDA COUNTY WATER DISTRICT,http://www.acwd.org/2019CCR ,http://www.acwd.org/,ACWD,"351,000",Surface water,"43885 S GRIMMER BLVD
FREMONT, CA 94538-6348",510-668-4201,,Alameda
ARLINGTON WATER DEPT. (MWRA),http://www.mwra.com/water/html/awqr.htm,http://www.mwra.com,,"42,844",Surface water purchased,"51 GROVE STREET
ARLINGTON, MA 02476",7813163310,ARLINGTON,Middlesex
ATHENS-CLARKE CO WATER SYSTEM,https://www.accgov.com/ccr,https://www.accgov.com/214/Public-Utilities,"ACC PUD, ACC Public Utilities Department, Athens Water Department, Athens-Clarke County Public Utilities Department","120,266",Surface water,"124 E. Hancock Avenue
ATHENS, GA 30601",706-613-3470,ATHENS,Clarke
ATLANTA,http://www.atlantawatershed.org/bureaus/drink/drink.htm,,,"650,000",Surface water,"2630 Ridgewood Road
ATLANTA, GA 30327",404-982-1472,ATLANTA,"DeKalb, Fulton"
AUGUSTA-RICHMOND CO WS,http://augustaga.gov/index.aspx?nid=751,,,"204,000",Surface water,"1731 TOBACCO RD.
AUGUSTA, GA 30906",706-821-4212,AUGUSTA,Richmond
BYRDSTOWN WATER DEPT,http://byrdstown.net/Documents/CCR2010.rtf,http://byrdstown.net/default.aspx,,"7,060",Surface water,"109 WEST MAIN ST.
BYRDSTOWN, TN 38549",931-864-6215,BYRDSTOWN,Pickett
ARVADA CITY OF,http://arvada.org/about-arvada/water-quality-and-environmental-services-division,,,"146,743",Surface water,"8101 RALSTON RD
ARVADA, CO 80002",720-898-7802,,Jefferson
DICKINSON CITY OF,http://dickinsongov.com/vertical/sites/%7BC05A6D52-8D43-4973-88DA-91DB0DE0D05A%7D/uploads/2011_Drinking_Water_Quality_Report.pdf,http://dickinsongov.com/index.asp?Type=B_BASIC&SEC={AC43EE98-2799-40EF-ADFC-7CDB6E3EE038},,"22,993",Surface water purchased,"3411 PUBLIC WORKS BOULEVARD
DICKINSON, ND 58601",701-456-7003,DICKINSON,Stark
ASHLAND WATER DEPARTMENT,http://www.ashland.or.us/SIB/files/2013%20Water%20Quality%20Report%20CCR%20(4).pdf,http://www.ashland.or.us/SectionIndex.asp?SectionID=454,,"20,700",Surface water,"90 N MOUNTAIN AVE
ASHLAND, OR 97520",541-488-6016,,Jackson
AUBURN WATER DISTRICT,http://www.awsd.org/waterindex.html,http://www.awsd.org,,"17,245",Surface water,"268 COURT STREET
AUBURN, ME 04212",207-784-6469,AUBURN,Androscoggin
"ASTORIA, CITY OF",http://www.astoria.or.us/page/276,http://www.astoria.or.us/,,"9,802",Surface water,"550 30TH ST
ASTORIA, OR 97103",503-325-3524,,Clatsop
ALLENDALE WATER DEPT,https://www.mysuezwater.com/sites/default/files/AllendaleCCR2018.pdf,,,"6,702",Surface water purchased,"200 LAKE SHORE DRIVE
HAWORTH, NJ 07641",201-599-6020,ALLENDALE BORO-0201,Bergen
ARLINGTON COUNTY,http://www.arlingtonva.us/departments/EnvironmentalServices/uepd/wquality/EnvironmentalServicesArlwq.aspx,,,"215,000",Surface water purchased,"Water/Sewer/Streets
4200 SOUTH 28TH STREET
ARLINGTON, VA 22206",703-228-6495,,Arlington
AURORA CITY OF,http://www.auroragov.org/AuroraGov/Departments/AuroraWater/042610?ssSourceNodeId=602&ssSourceSiteId=621,,,"465,501",Surface water,"18301 E QUINCY AVE
AURORA, CO 80015",303-739-6740,,Arapahoe
BEDFORD WATER DEPT.,http://www.mwra.com/water/html/awqr.htm,http://www.mwra.com,,"13,691",Surface water purchased,"314 GREAT RD
131 SHAWSHEEN ROAD
BEDFORD, MA 01730",7812757605,BEDFORD,Middlesex
BELLINGHAM DPW  WATER  SEWER DIV.,http://www.bellinghamma.org/Pages/BellinghamMA_DPW/CCR2011.pdf,http://www.bellinghamma.org/Pages/BellinghamMA_DPW/waterquality,,"15,390",Ground water,"26 BLACKSTONE STREET
BELLINGHAM, MA 02019",5089665813,BELLINGHAM,Norfolk
BELMONT WATER DEPT. (MWRA),http://www.mwra.com/water/html/awqr.htm,http://www.mwra.com,,"24,254",Surface water purchased,"35 WOODLAND ST
BELMONT, MA 02478",6179932700,BELMONT,Middlesex
ALOHA GARDENS UTILITIES,http://www.fgua.com/docs/CCRs/2011/2011%20CCR%20Aloha%20Gardens.pdf,http://www.fgua.com/aloha,,"8,136",Surface water purchased,"280 WEKIVA SPRINGS RD
SUITE 2070
LONGWOOD, FL 32779",407-629-6900,NEW PORT RICHEY,Pasco
AVONDALE CITY OF,http://www.avondaleaz.gov/government/departments/public-works/water-quality/annual-water-quality-reports,http://www.avondaleaz.gov,"Avondale Water, Avondale Water Operations","83,001",Ground water,"
399 E LOWER BUCKEYE RD
AVONDALE, AZ 85333",623-333-4400,AVONDALE,Maricopa
CLARKSVILLE WATER DEPARTMENT,https://www.cityofclarksville.com/2019waterqualityreport,http://www.clarksvillegw.com,"City of Clarksville, Clarksville Gas and Water","215,421",Surface water,"2215 MADISON STREET
CLARKSVILLE, TN 37041",931-645-1857,CLARKSVILLE,Montgomery
AMARILLO MUNICIPAL WATER SYSTEM,http://www.ci.amarillo.tx.us/departments/utilities.html,,,"196,429",Surface water,"PO BOX 1971
AMARILLO, TX 79105-1971",806-378-3013,,Potter
ASHEVILLE CITY OF,http://www.ashevillenc.gov/departments/water_services/default.aspx?id=556&ekmensel=12_submenu_0_link_14,,,"124,300",Surface water,"PO BOX 7148
ASHEVILLE, NC 28802",828-259-5959,ASHEVILLE,Buncombe
WAIPAHU-EWA-WAIANAE,http://www.boardofwatersupply.com/cssweb/display.cfm?sid=1081,,,"217,479",Ground water,"Honolulu Board of Water Supply
630 S. Beretania St., Rm. 308
HONOLULU, HI 96843",808-748-5080,WAIPAHU-EWA-WAIANAE,Honolulu
EAST PROVIDENCE-CITY OF,http://www.eastprovidenceri.net/content/666/738/746/782/826/default.aspx,,,"48,688",Surface water purchased,"60 COMMERCIAL WAY
EAST PROVIDENCE, RI 02914",401-435-7741,EAST PROVIDENCE,Providence
DAPHNE (UTILITIES BOARD OF THE CITY OF),http://www.daphneutilities.com/daphne/water_ccr.htm,http://www.daphneutilities.com,,"33,372",Ground water,"
900 DAPHNE AVENUE
DAPHNE, AL 36526",251-626-2628,DAPHNE,Baldwin
CANNON AIR FORCE BASE WATER SYSTEM,http://www.cannon.af.mil/shared/media/document/AFD-140616-027.pdf,http://www.cannon.af.mil/,,"7,832",Ground water,"Bldg 1408 27 SOOMRS/SGPB
224 West D.L. Ingram Ave
CANNON, NM 88103",575-784-4063,CANNON AFB,Curry
DECATUR (MUNICIPAL UTILITIES BOARD OF),http://decaturutilities.com/images/stories/DU/PDFS/Water_Quality_Report.pdf,http://decaturutilities.com,,"77,100",Surface water,"
P O BOX 2232
DECATUR, AL 35603",256-552-1428,DECATUR,Morgan
CONSOLIDATED U D OF RUTHERFORD,http://www.cudrc.com/Resources/Water-Quality-Report.aspx,,,"172,615",Surface water,"P.O. BOX 249, 709 NEW SALEM HWY
MURFREESBORO, TN 37133-0249",615-893-7225,MURFREESBORO,Rutherford
Auburn City of,http://weblink.auburnwa.gov/Weblink8/ElectronicFile.aspx?docid=182872&dbid=0,http://www.auburnwa.gov/community/utilities/water_division.asp,,"58,864",Ground water,"25 W Main
Auburn, WA 98001",,,King
ALBANY CITY,http://www.albanyny.gov/Government/Departments/WaterAndWaterSupply/DrinkingWaterReport.aspx,,,"101,082",Surface water,"10 no. Enterprise
ALBANY, NY 12204",518-767-2667,ALBANY (C),Albany
BELGRADE  CITY OF,http://www.ci.belgrade.mt.us/water/,http://www.ci.belgrade.mt.us/water/,,"7,000",Ground water,"91 E CENTRAL
BELGRADE, MT 59714",406-388-3764,BELGRADE,Gallatin
CENTRAL ARKANSAS WATER,http://www.carkw.com/source/water_quality_reports.asp,,,"330,667",Surface water,"P.O. BOX 1789
LITTLE ROCK, AR 72203",501-223-1579,,Pulaski
FERNLEY PUBLIC WORKS,http://www.cityoffernley.org/DocumentView.aspx?DID=4586,http://www.cityoffernley.org,,"18,000",Ground water,"595 SILVER LACE BLVD
FERNELY, NV 89408",775-784-9910,FERNLEY,Lyon
ARLINGTON HEIGHTS,http://www.vah.com/assets/1/public_works/2010_Water_Quality_Report_final.pdf,http://www.vah.com/departments/public_works/water.aspx,,"79,000",Surface water purchased,"VILLAGE OF ARLINGTON HEIGHTS
33 SOUTH ARLINGTON HEIGHTS ROAD
ARLINGTON HEIGHTS, IL 60005",847-368-5250,ARLINGTON HEIGHTS,Cook
FAIRHOPE WATER SYSTEM (CITY OF),http://www.cofairhope.com/dep_utilities_water.php,http://www.cofairhope.com/dep_utilities_water.php,,"38,754",Ground water,"P O BOX 429
FAIRHOPE, AL 36533",,FAIRHOPE,Baldwin
BEND WATER DEPARTMENT,http://bendoregon.gov/waterreport,http://www.bendoregon.gov/government/departments/utilities/water,,"62,091",Surface water,"62975 BOYD ACRES RD
BEND, OR 97701",541-693-2180,,Deschutes
BOSTON WATER AND SEWER COMMISSION (MWRA),http://www.mwra.com/water/html/awqr.htm,,,"617,594",Surface water purchased,"980 HARRISON AVE
BOSTON, MA 02119",6179897000,BOSTON,Suffolk
BARGERSVILLE WATER DEPARTMENT,http://www.townofbargersville.org/files/1013/9446/4288/2014-2-25_JB_2013_Bargersville_CCR.pdf,http://www.townofbargersville.org/utilities/water-works/,,"29,748",Ground water,"24 North Main, P.O. Box 420
BARGERSVILLE, IN 46106",317-831-0300,BARGERSVILLE,Johnson
FOLEY (UTILITIES BOARD OF THE CITY OF),http://www.rivierautilities.com/pdf/water_quality_2011.pdf,http://www.rivierautilities.com/water.php,,"41,388",Ground water,"P.O. BOX 2050
FOLEY, AL 36536",251-943-5001,FOLEY,Baldwin
CITY OF JACKSON,http://www.jacksonms.gov/government/publicworks/sewer/,,,"156,959",Surface water,"PO BOX 17
JACKSON, MS 39205",601-960-1651,JACKSON,Hinds
HOPKINSVILLE WATER ENVIRONMENT AUTHORITY,http://hwea-ky.com/waterqualityreport.html,http://hwea-ky.com/,,"41,350",Surface water,"PO BOX 628
HOPKINSVILLE, KY 42240",270-887-4241,,Christian
FORT PAYNE WATER WORKS BOARD,http://fortpaynewater.com,http://fortpaynewater.com,,"25,107",Surface water,"
153 20TH STREET NE
FORT PAYNE, AL 35967",256-845-0449,FORT PAYNE,DeKalb
ASHVILLE VILLAGE PWS,http://www.ashvilleohio.gov/index.php/162-consumer-confidence-report-ccr,http://www.ashvillohio.gov,"Ashville Water Department, Village of Ashville Water Department, attempted to put URL for homepage and would not accept http://www.ashvillohio.gov","4,097",Ground water,"200 E STATION ST
ASHVILLE, OH 43103",740-983-7132,,Pickaway
ATHENS PWS,https://www.ci.athens.oh.us/DocumentCenter/View/5223/2019-Consumer-Confidence-Report,,,"32,725",Ground water,"8 E. WASHINGTON STREET
ATHENS, OH 45701",740-592-3338,,Athens
BJW&SA (0720003),http://www.bjwsa.org/water/quality.html,,,"120,236",Surface water,"BJW&SA
6 SNAKE RD
OKATIE, SC 29909-3937",843-987-8058,,Beaufort
ATLANTIC CITY MUA,http://www.acmua.org/,,,"152,415",Surface water,"401 NORTH VIRGINIA AVE
ATLANTIC CITY, NJ 08404",609-345-3315,ATLANTIC CITY-0102,Atlantic
BOULDER CITY OF,http://bouldercolorado.gov/water/water-report,http://boulderwater.net,,"166,080",Surface water,"1094 BETASSO RD
BOULDER, CO 80302",720-564-2301,,Boulder
Apple Valley,http://mn-applevalley.civicplus.com/index.aspx?NID=307,http://www.ci.apple-valley.mn.us/index.aspx?nid=294,,"50,300",Ground water,"Apple Valley Municipal Center
7100 147th Street West
Apple Valley, MN 55124-9016",9529532442,Apple Valley,Dakota
AURORA,http://www.aurora-il.org/development_services/publicworks/waterproduction/index.php?zoom_highlight=water+quality+report,,,"200,500",Surface water,"CITY OF AURORA
44 EAST DOWNER PLACE
AURORA, IL 60507",630-256-3250,AURORA,Kane
BILLINGS  CITY OF,https://www.billingsmtpublicworks.gov/DocumentCenter/View/262/CCR-2019,http://billings.mt.gov,,"114,000",Surface water,"2251 BELKNAP AVE
BILLINGS, MT 59101",406-657-8306,BILLINGS,Yellowstone
BROOKLINE WATER AND SEWER DIVISION,http://www.mwra.com/water/html/awqr.htm,http://www.mwra.com,,"58,732",Surface water purchased,"333 WASHINGTON ST
BROOKLINE, MA 02445",6177302170,BROOKLINE,Norfolk
BRECKENRIDGE TOWN OF,http://www.townofbreckenridge.com/index.aspx?page=52,http://www.townofbreckenridge.com/index.aspx?page=52,,"28,315",Surface water,"
PO BOX 168
BRECKENRIDGE, CO 80424",970-453-3173,,Summit
KENTUCKY-AMERICAN WATER CO,http://www.amwater.com/kyaw/customer-service/water-quality-reports.html,,,"299,501",Surface water,"2300 RICHMOND RD
LEXINGTON, KY 40502",859-268-6317,,Fayette
HENDERSON CITY OF,http://www.cityofhenderson.com/utility_services/water_quality.php,,,"321,781",Surface water,"PO BOX 95050 MSC 819
HENDERSON, NV 89009-5050",702-267-2728,HENDERSON,Clark
BURLINGTON WATER DEPT,http://burlington.org/dpw/water/Burlington_Web.pdf,http://burlington.org/dpw/water/water.html,,"25,392",Surface water,"25 CENTER ST TOWN HALL
BURLINGTON, MA 01803",7812701672,BURLINGTON,Middlesex
BROOMFIELD  CITY AND COUNTY OF,http://www.broomfield.org/water/WQR2010.pdf,http://www.broomfield.org/water,,"93,051",Surface water,"4395 W 144 AVE
BROOMFIELD, CO 80023",303-464-5606,BROOMFIELD,Broomfield
CEDAR RAPIDS WATER DEPARTMENT,http://www.cedar-rapids.org/resident-resources/utilities/water/Water%20Quality/Pages/default.aspx,,,"129,214",Groundwater under influence of surface water,"ATTN TARIQ BALOCH  WT MANAGER
761 J AVE NE
CEDAR RAPIDS, IA 52402",319-286-5283,CEDAR RAPIDS,Linn
AUBURN WATER SYSTEM,http://auburnwatersystem.com/about/reports/,http://auburnwatersystem.com/,,"25,344",Ground water,"3097 LOCKE LANE
CRESTVIEW, FL 32536",850-682-3413,CRESTVIEW,Okaloosa
CAMBRIDGE WATER DEPARTMENT,http://www.cambridgema.gov/CWD/publications.cfm,,,"105,162",Surface water,"250 FRESH POND PKWY
CAMBRIDGE, MA 02138",6173494770,CAMBRIDGE,Middlesex
BELLEVUE CITY OF,http://www.ci.bellevue.wa.us/water_quality.htm,,,"261,506",Surface water purchased,"PO Box 90012
Bellevue, WA 98009-9012",,,King
BOONVILLE PWS,http://dnr.mo.gov/ccr/MO3010089.pdf,http://boonvillemo.org/public-works/water/,,"8,319",Surface water,"901 RIVIERA DR
BOONVILLE, MO 65233-0000",573-265-7013,BOONVILLE,Cooper
BELLINGHAM-WATER DIVISION CITY OF,https://www.cob.org/services/environment/lake-whatcom/pages/water-quality.aspx,https://www.cob.org/services/utilities/,"Bellingham, City of Bellingham, Lake Whatcom","90,000",Surface water,"2221 Pacific St.
Bellingham, WA 98229",,,Whatcom
GULF SHORES (UTILITIES BOARD CITY OF),http://www.gulfshoresutilities.com/pdf/Water_Quality_Report_2013.pdf,http://www.gulfshoresutilities.com/index.html,,"36,798",Ground water,"
P O BOX 1229
GULF SHORES, AL 36542",251-968-6323,GULF SHORES,Baldwin
CHARLES CITY WATER SUPPLY,https://www.cityofcharlescity.org/ArchiveCenter/ViewFile/Item/639,http://www.cityofcharlescity.org,"CHARLES CITY WATER, CHARLES CITY WATER DEPARTMENT, CITY OF CHARLES CITY WATER","7,702",Ground water,"ATTN CORY SPIEKER
105 MILWAUKEE MALL
CHARLES CITY, IA 50616",641-257-6315,CHARLES CITY,Floyd
LOUISVILLE WATER COMPANY,http://louisvillewater.com/waterqualityreport,http://louisvillewater.com,,"764,769",Surface water,"550 SOUTH 3RD ST
LOUISVILLE, KY 40202",502-271-8873,,Jefferson
AQUA PA MAIN SYSTEM,https://www.aquaamerica.com/pages/AdvancedWaterQualityReportSearch.aspx,,,"822,600",Surface water,"762 W LANCASTER AVE
BRYN MAWR, PA 19010",610-645-1122,,Montgomery
OMND WATER TREATMENT PLANT,http://swwater.com/consumer-confidence-reports,http://swwater.com,,"4,168",Surface water,"4665 2ND STREET SW
DICKINSON, ND 58601-7231",701-225-0241,,Mercer
BUTTS COUNTY/JACKSON/JENKINSBURG WS,http://www.buttswsa.com/about-your-water/quality,http://www.buttswsa.com,,"31,171",Surface water,"P.O. BOX 145
JACKSON, GA 30233-0145",770-775-0042,JACKSON,Butts
BATAVIA,http://www.cityofbatavia.net/Content/templates/?a=1831,http://www.cityofbatavia.net/Content/templates/?a=1828,,"26,345",Ground water,"200 NORTH RADDANT ROAD
BATAVIA, IL 60510",630-454-2452,BATAVIA,Kane
COLLEGE UTILITIES CORPORATION, http://www.akwater.com/water_quality.shtml ,http://www.akwater.com/water_quality.shtml ,,"27,000",Ground water purchased,"P.O. Box 80370
3691 Cameron St. Suite 201
FAIRBANKS, AK 99708",907-455-0117,FAIRBANKS,Fairbanks North Star Borough
HUNTSVILLE UTILITIES,http://www.hsvutil.org/about/WQRindex.shtml,,,"262,155",Surface water,"
P.O. Box 2048
HUNTSVILLE, AL 35804",256-746-2888,HUNTSVILLE,Madison
CANTON WATER DEPT,http://www.mwra.com/water/html/awqr.htm,,,"21,458",Surface water purchased,"801 WASHINGTON ST
CANTON, MA 02021",7818215018,CANTON,Norfolk
LAS VEGAS VALLEY WATER DISTRICT,https://www.lvvwd.com/water-quality/reports/index.html,,,"1,502,604",Surface water,"1001 S VALLEY VIEW BLVD
LAS VEGAS, NV 89153",702-862-3776,LAS VEGAS,Clark
BLAINE CITY OF,http://www.cityofblaine.com/DocumentCenter/View/7597,http://www.cityofblaine.com/index.aspx?NID=103,,"6,319",Ground water,"1200 Yew Ave
Blaine, WA 98230",,,Whatcom
MOUNTAIN WATER DIST,http://www.mountainwaterdistrictky.com/water_quality_reports.php,http://www.mountainwaterdistrictky.com/index.php,,"48,286",Surface water,"PO BOX 3157
PIKEVILLE, KY 41502",606-631-9162,,Pike
CHANDLER CITY OF,http://www.chandleraz.gov/default.aspx?pageID=44,,,"247,328",Surface water,"
PO BOX 4008
CHANDLER, AZ 85244-4008",480-782-3730,CHANDLER,Maricopa
MURRAY WATER SYSTEM,http://www.murrayky.gov/publicworks/water/images/watersamplingresults2010.pdf,http://www.murrayky.gov/publicworks/water/index.htm,,"21,763",Ground water,"BOX 1236
MURRAY, KY 42071",270-762-0345,,Calloway
CHARLESTON WATER SYSTEM (SC1010001),http://www.charlestonwater.com/water_quality.htm#water_quality_reports ,,,"234,333",Surface water,"103 SAINT PHILLIPS
CHARLESTON, SC 29402",843-727-6856,CHARLESTON,Charleston
AZUSA LIGHT AND WATER,http://www.azusalw.com/index.aspx?NID=136,,,"106,400",Surface water,"729 N. AZUSA AVENUE
AZUSA, CA 91702",626-812-5209,,Los Angeles
NORTHERN KENTUCKY WATER DISTRICT,http://www.nkywater.org/waterquality.html,,,"199,460",Surface water,"700 ALEXANDRIA PIKE
FT THOMAS, KY 41075",859-441-0482,,Kenton
ELDORADO AREA WATER AND SANITATION DIST.,http://www.eldoradowaterdistrict.com/files/TE_Eldorado_2011_CCR.pdf,http://eldoradowaterdistrict.com/,,"7,350",Ground water,"
2 North Chamisa Drive, Suite A
SANTA FE, NM 87508",505-466-2531,SANTA FE,Santa Fe
AQUARION WATER CO OF CT-MAIN SYSTEM,http://www.aquarionwater.com/CT.cfm/section/Quality/page/WaterQualityReports-CT,,,"351,756",Surface water,"835 Main Street
Mail Stop 700
BRIDGEPORT, CT 06604",203-337-5852,"BEACON FALLS, BRIDGEPORT, DARIEN, EASTON, FAIRFIELD, GREENWICH, MONROE, NEW CANAAN, NEWTOWN, NORWALK, REDDING, RIDGEFIELD, SEYMOUR, SHELTON, STAMFORD, STRATFORD, TRUMBULL, WESTON, WESTPORT, WILTON",Fairfield
CORALVILLE MUNI WATER SYSTEM,http://www.coralville.org,http://www.coralville.org/index.aspx?nid=202,,"18,907",Ground water,"ATTN MATTHEW GILMORE WATER SUPT
PO BOX 5127
CORALVILLE, IA 52240",319-248-1770,CORALVILLE,Johnson
CITY OF BUCKEYE - VALENCIA TOWN DIVISION,http://www.gwresources.com/resources/documents/residents/qualityreports/valencia/valencia_2013.pdf,http://www.gwresources.com/,,"15,309",Ground water,"ATT EDDIE SOLIS
21749 W. YUMA ROAD, SUITE 107
BUCKEYE, AZ 85326",623-349-6106,BUCKEYE,Maricopa
E JEFFERSON WW DISTRICT 1,http://www.jeffparish.net/index.cfm?DocID=1198,,,"243,782",Surface water,"Jefferson Parish Water Quality Lab
3600 Jefferson Hwy Bldg. E
JEFFERSON, LA 70121",504-838-4305,,Jefferson Parish
BEREA CITY PWS,http://cityofberea.org/pdf_cityofberea/en-US/Berea%20Water%20Report%202011%205-22-12.pdf,http://cityofberea.org/en-US/Water-Utility.aspx,,"19,000",Surface water,"UTILITY ENGINEER
11 BEREA COMMONS
BEREA, OH 44017",440-234-5652,,Cuyahoga
MADISON WATER WORKS & SEWER,https://madisonutilities.org/images/2018_Water_Quality_Report_for_website.pdf,https://madisonutilities.org/,Madison Utilities,"50,000",Surface water,"
101 RAY SANDERSON DRIVE
MADISON, AL 35758",256-772-0253,MADISON,Madison
SOUTHWEST WATER AUTHORITY,http://swwater.com/consumer-confidence-reports,http://swwater.com,,"8,537",Surface water,"4665 2ND STREET SW
DICKINSON, ND 58601-7231",701-225-0241,DICKINSON,Stark
CHELSEA WATER DEPT. (MWRA),http://www.mwra.com/water/html/awqr.htm,http://www.mwra.com,,"35,177",Surface water purchased,"500 BROADWAY
CHELSEA, MA 02150",6174664200,CHELSEA,Suffolk
PROVIDENCE-CITY OF,http://www.provwater.com/,,,"310,060",Surface water,"125 DUPONT DRIVE
PROVIDENCE, RI 02907",401-521-6300,"CRANSTON, JOHNSTON, NORTH PROVIDENCE, PROVIDENCE",Providence
COUNCIL BLUFFS WATER WORKS,https://www.cbwaterworks.com/Documents/waterqualityreport2011.pdf,https://cbwaterworks.com,,"63,795",Surface water,"ATTN GENERAL MGR
PO BOX 309
COUNCIL BLUFFS, IA 51502",712-328-1006,COUNCIL BLUFFS,Pottawattamie
BREMERTON CITY OF,http://BremertonWA.gov/drinkingwaterreport,http://BremertonWA.gov/drinkingwaterreport,,"63,161",Surface water,"100 Oyster Bay Ave. N.
Bremerton, WA 98312",,,Kitsap
