Water System Name,CCR Website,Water System Website,Water System Alias,Population Served,Source Type,System Address,Contact Phone,Cities Served,Counties Served
BARBOURVILLE UTILITIES,,,,"16,420",Surface water,"PO BOX 1600
BARBOURVILLE, KY 40906",606-546-3189,,Knox
ADA,,,,"22,600",Ground water,"The Honorable Dr. Tre' Landrum, Mayor
231 South Townsend
ADA, OK 74820-6443",580-436-8100,,Pontotoc
ADEL MUNICIPAL WATER WORKS,,,,"3,684",Ground water,"ATTN WATER SUPERINTENDENT
PO BOX 248
ADEL, IA 50003",515-993-4525,ADEL,Dallas
BARDSTOWN MUNICIPAL WATER DEPT,,,,"31,185",Surface water,"220 N FIFTH ST
BARDSTOWN, KY 40004",502-348-3064,,Nelson
ALCORN STATE UNIVERSITY,,,,"3,824",Ground water,"1000 ASU DRIVE #509
ALCORN STATE, MS 39096",601-877-6185,,Claiborne
AMERICAN FORK CITY,,,,"30,437",Ground water,"106 E 750 S
LEHI, UT 84043",801-404-6129,,Utah
ADAIRSVILLE,,,,"7,306",Groundwater under influence of surface water,"116 PUBLIC SQUARE
ADAIRSVILLE, GA 30103",770-773-3451,ADAIRSVILLE,Bartow
ALCORN W/A #1-INDIAN SPRINGS,,,,"6,909",Ground water,"P O BOX 1388
CORINTH, MS 38835",662-286-6689,,Alcorn
ALGOOD WATER SYSTEM,,,,"8,713",Surface water purchased,"215 WEST MAIN STREET
ALGOOD, TN 38506",931-537-9545,,Putnam
ANGOLA PUMP DISTRICT,,,,"11,350",Ground water,"1100 South Little Creek Road
DOVER, DE 19901",302-734-7500,LEWES,Sussex
ADEL,,,,"5,252",Ground water,"POB 1530
ADEL, GA 31620-1530",229-896-4504,ADEL,Cook
BARKLEY LAKE WATER DISTRICT,,,,"14,284",Surface water,"PO BOX 308
CADIZ, KY 42211",270-522-8425,,Trigg
ALLARDT WATER WORKS,,,,"3,529",Surface water purchased,"P.O. BOX 159
2015 MICHIGAN AVE.
ALLARDT, TN 38504",931-879-7125,,Fentress
ANDALUSIA (UTILITIES BOARD OF),,,,"15,114",Ground water,"
P.O. Box 790
ANDALUSIA, AL 36420",334-222-5036,ANDALUSIA,Covington
HAINA,,,,"4,563",Ground water,"DEPARTMENT OF WATER SUPPLY
345 KEKUANAOA STREET, SUITE 20
HILO, HI 96720",808-961-8050,HAINA,Hawaii
ALGOMA WATER ASSOCIATION,,,,"6,409",Ground water,"P O BOX 123
ALGOMA, MS 38820",662-489-8351,,Pontotoc
ALPHA-TALBOTT UTILITY DISTRICT,,,,"17,934",Surface water purchased,"P.O. BOX 100
TALBOTT, TN 37877",865-475-7200,,Hamblen
ANNISTON WATER & SEWER BOARD,,,,"55,368",Surface water,"
PO Box 2268
ANNISTON, AL 36202",256-241-5005,ANNISTON,Calhoun
"ABERDEEN PATE WATER COMPANY, INC.",,,,"4,688",Ground water,"6124 Hartford Ridge Road
AURORA, IN 47001-9682",812-438-3428,AURORA,Ohio
BATH COUNTY WATER DISTRICT,,,,"8,955",Surface water purchased,"PO BOX 369
SALT LICK, KY 40371",606-683-6363,,Bath
ADAIR COUNTY PWSD 1,,,,"7,500",Surface water purchased,"1120 N GREEN
KIRKSVILLE, MO 63501-0000",660-341-2192,KIRKSVILLE,Adair
ABBEVILLE CITY OF (0110001),,,,"5,324",Surface water,"ABBEVILLE CITY OF
PO BOX 40
ABBEVILLE, SC 29620",864-366-5017,ABBEVILLE,Abbeville
ANDERSON COUNTY WATER AUTHORITY,,,,"24,029",Surface water,"1611 NORTH CHARLES SIEVERS RD.
CLINTON, TN 37716",865-457-9506,LAKE CITY,Anderson
ARTESIAN NORTHERN SUSSEX REGIONAL,,,,"5,511",Ground water,"664 Churchmans Road
NEWARK, DE 19702",302-453-6925,LEWES,Sussex
ARAB WATER WORKS BOARD,,,,"34,800",Surface water,"
526 Cullman Road
ARAB, AL 35016",256-505-2103,ARAB,Marshall
BEATTYVILLE WATER WORKS,,,,"8,428",Surface water,"PO BOX 307
BEATTYVILLE, KY 41311",606-464-1000,,Lee
ARTESIAN WATER COMPANY,http://www.artesianwater.com/customer-service-center/artesian-pipeline-newsletter/customer-service-centerartesian-pipeline-newsletterspring-2010-water-quality-reports,,,"208,875",Surface water purchased,"664 Churchmans Road
NEWARK, DE 19702",302-453-6925,"BEAR, HOCKESSIN",New Castle
ARDMORE WATER SYSTEM,,,,"3,600",Ground water,"
P. O. BOX 26
ARDMORE, TN 38449",256-423-6161,ARDMORE,Limestone
ALAMO,,,,"3,650",Ground water,"PO Box 646
5 West Main Street
ALAMO, GA 30411",912-568-7153,ALAMO,Wheeler
BEAVER DAM MUNICIPAL WATER & SEWER,,,,"3,901",Ground water,"PO BOX 408
BEAVER DAM, KY 42320",270-274-7106,,Ohio
ALMA WATERWORKS,,,,"5,978",Surface water,"811 FAYETTEVILLE AVE
ALMA, AR 72921-0000",479-632-2254,,Crawford
ALAMOGORDO DOMESTIC WATER SYSTEM,,,,"35,629",Surface water,"
42 VALLEY VIEW DR
LA LUZ, NM 88337",575-437-5991,ALAMOGORDO,Otero
ADAMSON RWD #8,,,,"4,306",Surface water purchased,"Mr. Mike Dunagan
70 Adamson Cemetary Rd.
HARTSHORNE, OK 74547",918-297-3074,,Pittsburg
AIKEN CITY OF (0210001),,,,"42,286",Surface water,"CITY OF AIKEN
PO BOX 1177
AIKEN, SC 29802-1177",803-522-4996,AIKEN,Aiken
ARLEY WATER WORKS,,,,"8,673",Surface water,"PO BOX 146
ARLEY, AL 35541",205-387-9037,ARLEY - 3600,Winston
ALBANY,,,,"87,261",Ground water,"P.O. BOX 1788
ALBANY, GA 31702",229-883-8330,ALBANY,Dougherty
ADOC EYMAN UNIT,,,,"5,100",Ground water,"ATTN Michael Landry
1645 W JEFFERSON
PHOENIX, AZ 85007",602-542-5225,FLORENCE,Pinal
A.P.G. - EDGEWOOD AREA,,,,"6,200",Surface water,"DPW ENVIRONMENTAL DIVISION
E5771 MAGNOLIA ROAD
ABERDEEN PROVING GROUND, MD 21010",410-436-3808,,Harford
"ABERDEEN, TOWN OF",,,,"10,380",Ground water,"PO BOX 785
ABERDEEN, NC 28315",910-944-4504,ABERDEEN,Moore
ASBURY WATER SYSTEM,,,,"3,786",Surface water purchased,"
2202 ASBURY RD
ALBERTVILLE, AL 35951",256-878-9158,ALBERTVILLE,Marshall
ARCADIA WATER SYSTEM,,,,"3,508",Ground water,"Town of Arcadia
P.O. Box 767
ARCADIA, LA 71001",318-607-5370,,Bienville Parish
ADOC FLORENCE ASP,,,,"4,000",Ground water,"
787 N MAIN ST
COOLIDGE, AZ 85228",520-299-1548,FLORENCE,Pinal
ALBUQUERQUE WATER SYSTEM,http://www.abcwua.org/content/view/446/689/,,,"659,736",Surface water,"
PO Box 568
ALBUQUERQUE, NM 87103",505-289-3434,ALBUQUERQUE,Bernalillo
ASHFORD WATER WORKS,,,,"3,768",Ground water,"
P.O. Box 428
ASHFORD, AL 36312",,ASHFORD,Houston
HANAPEPE-ELEELE,,,,"5,592",Ground water,"KAUAI DEPT. OF WATER
4398 PUA LOKE STREET
LIHUE, HI 96766-5706",808-245-5403,HANAPEPE-ELEELE (DOW),Kauai
ARCHIBALD WATER SYSTEM,,,,"3,600",Ground water,"ARCHIBALD WATER SYSTEM
P O BOX 27
ARCHIBALD, LA 71218",318-248-3609,,Richland Parish
ADOC TUCSON,,,,"4,500",Ground water,"
10000 S WILMOT RD
TUCSON, AZ 85734",520-574-0024,TUCSON,Pima
ARTHUR-SHAWANEE UTILITY DISTRICT,,,,"9,967",Surface water,"112 KIRBY STREET
HARROGATE, TN 37752",423-869-4761,HARROGATE,Claiborne
BENTON WATER & SEWER,,,,"7,981",Ground water,"1009 MAIN ST
BENTON, KY 42025",270-527-8677,,Marshall
"ALBANY, CITY OF",,,,"56,100",Surface water,"310 WAVERLY DR NE
ALBANY, OR 97321",541-917-7629,,Linn
ALLENDALE TOWN OF (0310001),,,,"3,882",Ground water,"PO BOX 551
ALLENDALE, SC 29810",803-584-4619,ALLENDALE,Allendale
ASHLAND CITY WATER DEPARTMENT,,,,"8,030",Surface water,"P.O. BOX 36
ASHLAND CITY, TN 37015",615-792-7553,ASHLAND CITY,Cheatham
ASHVILLE WATER AND SEWER,,,,"4,107",Ground water,"HON. DERRICK MOSTELLA, MAYOR
P.O. Box 1448
ASHVILLE, AL 35953",205-594-4151,ASHVILLE,St. Clair
HAWAII VOLCANOES NAT.PARK,,,,"5,205",Ground water,"HAWAII VOLCANOES NATIONAL PARK
P.O. BOX 52
HAWAII NATIONAL PARK, HI 96718",808-985-6025,HVNP (DHO),Hawaii
BEREA MUNICIPAL UTILITIES,,,,"9,972",Surface water,"PO BOX 926
BEREA, KY 40403",859-986-4391,,Madison
ALLIGATOR RURAL WATER (SC1320004),,,,"4,128",Ground water,"PO BOX 810
MCBEE, SC 29101",843-335-6464,MCBEE,Chesterfield
BELLE FOURCHE,,,,"5,594",Ground water,"511 SIXTH AVENUE
BELLE FOURCHE, SD 57717",6058922494,BELLE FOURCHE,Butte
ATHENS UTILITIES BOARD,,,,"24,610",Surface water,"100 ENGLEWOOD ROAD
ATHENS, TN 37303",423-745-4501,ATHENS,McMinn
ATHENS UTILITIES,,,,"27,534",Surface water,"
PO Box 800
GADSDEN, AL 35902",256-543-2884,ATHENS,Limestone
HAWAIIAN BEACHES,,,,"3,546",Ground water,"HAWAIIAN BEACHES WATER COMPANY
P.O. Box 22
PAHOA, HI 96778",808-965-9882,HAWAIIAN SHORES DHO,Hawaii
ABINGDON,,,,"3,654",Ground water purchased,"114 EAST MEEK STREET
ABINGDON, IL 61410",309-462-3182,ABINGDON,Knox
BIG SANDY WATER DISTRICT,,,,"13,044",Surface water purchased,"18200 STATE RTE 3
CATLETTSBURG, KY 41129",606-928-2075,,Boyd
BARNES RURAL WATER DISTRICT,,,,"4,938",Ground water,"421 WEST MAIN ST
VALLEY CITY, ND 58072-3323",701-845-1117,VALLEY CITY,Barnes
ATOKA WATER SYSTEM,,,,"9,336",Ground water purchased,"334 ATOKA-MUNFORD AVE.
ATOKA, TN 38004",901-837-5300,,Tipton
ATTALLA WATER WORKS BOARD,,,,"8,415",Groundwater under influence of surface water,"
509 Fourth Street
ATTALLA, AL 35954",256-538-3777,ATTALLA,Etowah
ABS WATER COOP,,,,"7,090",Ground water purchased,"415 SOUTH JACKSON
CLAYTON, IL 62324",217-812-6339,,Adams
ARNOLD LINE WATER ASSOCIATION,,,,"7,000",Ground water,"118 RAYBURN PL
HATTIESBURG, MS 39402",601-264-7711,,Lamar
AUBURN WATER WORKS,http://www.auburnalabama.org/wrm-water/Default.aspx?PageID=324,http://www.auburnalabama.org/wrm/,,"65,313",Surface water,"1501 W. Samford Ave.
1501 W. Samford Ave.
AUBURN, AL 36832",334-501-3067,AUBURN,Lee
ALMA,,,,"4,700",Ground water,"P.O. Box 429
ALMA, GA 31510",912-632-5917,ALMA,Bacon
ALBIA MUNICIPAL WATER WORKS,,,,"3,766",Surface water purchased,"ATTN WATER SUPERINTENDANT SAM BEAIRD
120 S A ST
ALBIA, IA 52531",641-932-2911,ALBIA,Monroe
ABINGTON/ROCKLAND JOINT WTR. WORKS,,,,"33,887",Surface water,"366 CENTRE AVENUE
ROCKLAND, MA 02370",7818780901,ABINGTON,Plymouth
ALTUS,,,,"21,477",Surface water,"Benny Hunn, Water Treatment Supervisor
509 S. Main
ALTUS, OK 73521",580-481-2270,,Jackson
ASHLEY VALLEY WATER AND SEWER ID,,,,"13,500",Surface water,"HC 67 BOX 8
TRIDELL, UT 84076-9705",435-545-5035,,Uintah
AUTAUGA CO WATER AUTHORITY,,,,"7,710",Ground water,"
P O BOX 680294
PRATTVILLE, AL 36068",334-365-2804,PRATTVILLE,Autauga
HILO,,,,"39,477",Ground water,"DEPARTMENT OF WATER SUPPLY
345 KEKUANAOA STREET, SUITE 20
HILO, HI 96720",808-961-8050,HILO,Hawaii
ALTUS AFB,,,,"4,617",Surface water purchased,"Jon Reymon M. Madriaga, SrA
301 N 1st St.
ALTUS, OK 73523",580-481-5494,,Jackson
BANGHAM UTILITY DISTRICT,,,,"8,047",Surface water purchased,"3694 HILHAM RD.
COOKEVILLE, TN 38506-7113",931-372-1902,,Putnam
ALAMOSA CITY OF,,,,"9,590",Ground water,"
PO BOX 419
ALAMOSA, CO 81101",719-589-6631,,Alamosa
BAYSIDE PUMP DISTRICT,,,,"7,500",Ground water,"1100 South Little Creek Road
DOVER, DE 19901",302-734-7500,FENWICK ISLAND,Sussex
HNL-WINDWARD-PEARL HARBOR,http://www.boardofwatersupply.com/cssweb/display.cfm?sid=1081,,,"631,389",Ground water,"Honolulu Board of Water Supply
630 S. Beretania St., Rm. 308
HONOLULU, HI 96843",808-748-5080,HONOLULU-WINDWARD-PEARLHARBOR,Honolulu
ASSUMPTION PARISH WW DISTRICT 1,,,,"22,862",Surface water,"PO DRAWER 575
4633 HWY1
NAPOLEONVILLE, LA 70390",985-369-6156,,Assumption Parish
BALLYS,,,,"7,850",Surface water purchased,"3655 LAS VEGAS BLVD SOUTH
LAS VEGAS, NV 89109",702-946-4282,,Clark
ALVA,,,,"5,208",Ground water,"Kelly Parker
415 4TH ST
ALVA, OK 73717",580-327-1340,,Woods
BIG SIOUX COMMUNITY WATER SYSTEM,,,,"5,337",Ground water,"23343 479TH AVE
EGAN, SD 57024",6059972098,EGAN,"Brookings, Lake, Moody"
BARTLETT WATER SYSTEM,,,,"57,670",Ground water,"6382 STAGE ROAD
BARTLETT, TN 38134",901-385-6499,BARTLETT,Shelby
AMERICAN FALLS CITY OF,,,,"4,225",Ground water,"550 N OREGON TRL
AMERICAN FALLS, ID 83211",208-541-0108,,Power
AMICKS FERRY WTR SYSTEM (3250077),,,,"3,655",Surface water purchased,"157 NW COLUMBIA AVE
CHAPIN, SC 29036-0418",803-345-0416,CHAPIN,Lexington
BAKERHILL WATER AUTHORITY,,,,"7,128",Ground water,"
1910 Highway 131
BAKERHILL, AL 36027",334-687-6444,BAKERHILL,Barbour
ACTON WATER SUPPLY DISTRICT,,,,"20,890",Groundwater under influence of surface water,"P.O. BOX 953
ACTON, MA 01720",9782639107,ACTON,Middlesex
"ALLIANCE, CITY OF",,,,"8,500",Ground water,"PO BOX D
ALLIANCE, NE 69301",308-762-5400,ALLIANCE,Box Butte
BAXTER WATER DEPARTMENT,,,,"6,600",Surface water purchased,"P.O. BOX 283, CITY HALL
BAXTER, TN 38544",931-858-4111,BAXTER,Putnam
AIRWAY HEIGHTS CITY OF,,,,"6,992",Ground water,"1208 S. Lundstrom St
Airway Heights, WA 99001",,,Spokane
BETHANY BAY PUMP DISTRICT,,,,"34,500",Ground water,"1100 South Little Creek Road
DOVER, DE 19901",302-734-7500,MILLVILLE,Sussex
JOINT BASE PEARL HARBOR-HICKAM,,,,"65,230",Ground water,"NAVY REGION HAWAII, REGIONAL ENV. DEPT.
850 TICONDEROGA ST., SUITE 110
JBPPH, HI 96860-5101",,PEARL HARBOR,Honolulu
ADDISON,,,,"36,942",Surface water purchased,"VILLAGE OF ADDISON
1491 JEFFREY DRIVE
ADDISON, IL 60101",630-620-2020,ADDISON,DuPage
ACUSHNET WATER DEPARTMENT,,,,"7,911",Surface water purchased,"130 MAIN ST
ACUSHNET, MA 02743",5089980230,ACUSHNET,Bristol
BARRONTOWN W/A,,,,"7,115",Ground water,"1586 HWY 42 EAST
PETAL, MS 39465",601-544-3502,,Forrest
ALTO LAKES WATER AND SANITATION DISTRICT,,,,"3,585",Ground water,"
PO DRAWER 750
ALTO, NM 88312",575-336-4333,ALTO,Lincoln
ADA VILLAGE,,,,"5,952",Ground water,"115 W BUCKEYE AVE
PO BOX 292
ADA, OH 45810-0292",419-634-4045,,Hardin
ANADARKO PUBLIC WORKS AUTHORITY,,,,"6,804",Surface water,"Kenneth Corn, City Manager
BOX 647
ANADARKO, OK 73005",405-247-2481,,Caddo
BLACK HAWK WATER USER DISTRICT,,,,"3,750",Ground water,"PO BOX 476
BLACK HAWK, SD 57718",6057875777,BLACK HAWK,Meade
BETHANY BEACH WATER DEPARTMENT,,,,"12,000",Ground water,"Bethany Town Office
P.O. Box 109
BETHANY BEACH, DE 19930",302-539-8011,BETHANY BEACH,Sussex
KAANAPALI,,,,"8,000",Ground water,"HAWAII WATER SERVICE COMPANY
P.O. BOX 384809
WAIKOLOA, HI 96738",808-883-2065,KAANAPALI (DHO),Maui
BLOOMFIELD WATER & SEWER DEPT,,,,"5,771",Surface water purchased,"PO BOX 204
BLOOMFIELD, KY 40008",502-249-0741,,Nelson
ARKADELPHIA WATERWORKS,,,,"10,548",Surface water,"not provided
NOT PROVIDED, AR 72205",870-246-2321,,Clark
"AHOSKIE, TOWN OF",,,,"5,479",Ground water,"PO BOX 767
AHOSKIE, NC 27910",252-209-0096,AHOSKIE,Hertford
BEULAH CITY OF,,,,"3,304",Ground water,"120 N CENTRAL
PO BOX 910
BEULAH, ND 58523",,BEULAH,Mercer
ADAMS COUNTY REGIONAL WD PWS,http://www.acrwd.com/id62.html,http://www.acrwd.com,,"21,810",Ground water,"PO Box 427
9203 St Rt 136
WEST UNION, OH 45693",937-544-2396,,Adams
ANDREWS TOWN OF (SC2210003),,,,"3,895",Ground water,"TOWN OF ANDREWS
PO BOX 378
ANDREWS, SC 29510",843-264-8666,ANDREWS,Georgetown
439 WSC,,,,"7,521",Surface water purchased,"6202 SPARTA RD
BELTON, TX 76513-4880",254-939-8203,,Bell
ACSA CROZET,,,,"10,015",Surface water purchased,"168 Spotnap Road
CHARLOTTESVILLE, VA 22911-8690",434-977-4511,,Albemarle
BAYOU LA BATRE UTILITIES,,,,"8,100",Ground water,"
13231 North Wintzell Avenue
BAYOU LA BATRE, AL 36509",251-824-2172,BAYOU LA BATRE,Mobile
"ARKANSAS CITY, CITY OF",http://www.arkansascityks.gov/DocumentCenterii.aspx,http://www.arkansascityks.gov/index.aspx?nid=4,,"11,793",Ground water,"2929 N 2ND ST
ARKANSAS CITY, KS 67005",620-441-4484,ARKANSAS CITY,Cowley
ADAMS FIRE DISTRICT,,,,"8,162",Ground water,"3 COLUMBIA ST
ADAMS, MA 01220",4137430978,ADAMS,Berkshire
BEAN STATION UTILITY DISTRICT,,,,"9,013",Surface water purchased,"581 BROADWAY DR.
BEAN STATION, TN 37728",865-993-2326,BEAN STATION,Grainger
AMMON CITY OF,,,,"14,019",Ground water,"2135 S AMMON RD
AMMON, ID 83406",208-881-2637,,Bonneville
ALGONA MUNICIPAL UTILITIES,,,,"5,560",Ground water,"ATTN JOHN BILSTEN  GENERAL MGR
104 W CALL ST PO BOX 10
ALGONA, IA 50511",515-295-3584,ALGONA,Kossuth
AVOYELLES PARISH WATERWORKS DISTRICT 1,,,,"3,900",Ground water,"AVOYELLES PARISH WATERWORKS DISTRICT 1
4432 HWY 451
BORDELONVILLE, LA 71320",318-997-2122,,Avoyelles Parish
"ADELANTO, CITY OF",,,,"31,765",Ground water,"11600 AIR EXPRESSWAY
ADELANTO, CA 92301",760-246-2300,ADELANTO,San Bernardino
BEDFORD COUNTY UTILITY DISTRICT,,,,"18,722",Surface water,"P.O. BOX 2755
214 BETHANY LANE
SHELBYVILLE, TN 37162",931-684-1667,SHELBYVILLE,Bedford
BOONE CO WATER & SEWER DISTRICT,,,,"66,300",Surface water purchased,"PO BOX 18
BURLINGTON, KY 41005",859-586-6155,,Boone
BEAR CREEK W/A -EAST,,,,"14,243",Ground water,"P O BOX 107
CANTON, MS 39046",601-856-5969,,Madison
BLOCK ISLAND WATER COMPANY,http://www.blockislandwater.org/ccr.html,http://www.blockislandwater.org,,"9,999",Ground water,"PO BOX 998
BLOCK ISLAND, RI 02807",401-466-3232,NEW SHOREHAM,Washington
ACSA URBAN AREA,,,,"67,293",Surface water purchased,"168 Spotnap Road
CHARLOTTESVILLE, VA 22911-8690",434-977-4511,,Albemarle
BEAUREGARD WATER AUTHORITY,,,,"11,178",Ground water,"
P.O. Box 271
OPELIKA, AL 36803-0271",334-749-4900,OPELIKA,Lee
AVOYELLES WARD ONE WATER SYSTEM  INC,,,,"3,450",Ground water,"AVOYELLES WARD 1 WATER SYSTEM
162 HAYES CEMETERY ROAD
EFFIE, LA 71331",318-253-7375,,Avoyelles Parish
BEAR CREEK W/A-WEST,,,,"24,671",Ground water,"P O BOX 107
CANTON, MS 39046",601-856-5969,,Madison
BELFOREST WATER SYSTEM,,,,"13,380",Ground water,"
9080 County Road 64
DAPHNE, AL 36526",251-626-5554,DAPHNE,Baldwin
AMERICUS,,,,"14,524",Ground water,"104 Mill Creek Road
AMERICUS, GA 31709",229-924-4419,,Sumter
BOONEVILLE WATER AND SEWER,,,,"5,346",Surface water,"PO BOX 218
BOONEVILLE, KY 41314",606-593-5281,,Owsley
BEAT III W/A #1-SAND HILL,,,,"4,263",Ground water,"39560 HIGHWAY 63 NORTH
RICHTON, MS 39476",601-989-2850,,Greene
ASHDOWN WATERWORKS,,,,"4,723",Ground water,"161 W COMMERCE
ASHDOWN, AR 71822",870-898-3512,,Little River
BISMARCK CITY OF,,,,"72,417",Groundwater under influence of surface water,"601 S 26TH ST
PO BOX 5503
BISMARCK, ND 58506",701-355-1700,BISMARCK,Burleigh
BOWLING GREEN MUNICIPAL UTILITIES,,,,"44,912",Surface water,"PO BOX 10300
BOWLING GREEN, KY 42102",270-782-4366,,Warren
AGAWAM WATER DEPARTMENT,,,,"28,849",Surface water purchased,"1000 SUFFIELD ST
AGAWAM, MA 01001",4138210600,AGAWAM,Hampden
BELLAGIO RESORT AND CASINO,,,,"17,171",Surface water purchased,"145 EAST HARMON
LAS VEGAS, NV 89109",702-797-6234,,Clark
"ALBEMARLE, CITY OF",,,,"17,874",Surface water,"PO BOX 190
ALBEMARLE, NC 28002",704-984-9609,ALBEMARLE,Stanly
ARDMORE,,,,"24,283",Surface water,"Mike Langley
P.O. Box 249
ARDMORE, OK 73402",580-221-2546,,Carter
"BERRY WATER DEPARTMENT, TOWN OF",,,,"4,716",Surface water,"
30 SCHOOL AVE
BERRY, AL 35546",205-689-4562,BERRY,Fayette
KALAHEO-KOLOA,,,,"12,660",Ground water,"KAUAI DEPT. OF WATER
4398 PUA LOKE STREET
LIHUE, HI 96766-5706",808-245-5403,KALAHEO,Kauai
BRACKEN COUNTY WATER DISTRICT,,,,"6,456",Ground water purchased,"PO BOX 201
BROOKSVILLE, KY 41004",606-735-3513,,Bracken
ATKINS WATER SYSTEM,,,,"4,439",Surface water,"po box 128
ATKINS, AR 72823",479-968-2782,,Pope
